plot_id;species_ids
CBN-can-A1-20230705;[1395807, 1360299, 1392608]
CBN-can-A2-20230705;[1395807]
CBN-can-A3-20230705;[1395807, 1412857, 1394643, 1392608, 1394641]
CBN-can-A5-20230705;[1397475, 1395807]
CBN-can-A6-20230705;[1397475]
CBN-can-B1-20230705;[1392608, 1360299, 1392611, 1395807]
CBN-can-B2-20230705;[1360299, 1392608, 1395807, 1400101, 1392611]
CBN-can-B3-20230705;[1412857, 1394643, 1395807, 1394641]
CBN-can-B4-20230705;[1397475]
CBN-can-B5-20230705;[1397475, 1395807, 1395190]
CBN-can-B6-20230705;[1397475, 1395807]
CBN-can-C1-20230705;[1395807]
CBN-can-C2-20230705;[1395807]
CBN-can-C3-20230705;[1395807]
CBN-can-C4-20230705;[1395807]
CBN-can-D1-20230705;[1395807]
CBN-can-D2-20230705;[1395807, 1412857]
CBN-can-D3-20230705;[1395807]
CBN-can-D4-20230705;[1395807, 1400101]
CBN-can-E1-20230706;[1392608, 1360299, 1392611]
CBN-can-E2-20230706;[1395807, 1395870]
CBN-can-E3-20230706;[1395807, 1392299, 1393684, 1392535]
CBN-can-E4-20230706;[1393684, 1395807, 1397430, 1392299, 1361598]
CBN-can-E5-20230706;[1392608, 1360299, 1395807, 1396843]
CBN-can-E6-20230706;[1395807, 1396843]
CBN-can-F1-20230705;[1395807]
CBN-can-F2-20230706;[1395807]
CBN-can-F3-20230706;[1395807, 1392299, 1393684, 1392309]
CBN-can-F4-20230706;[1393684, 1397430, 1395807]
CBN-can-F5-20230706;[1395807, 1396843, 1392608]
CBN-PdlC-A1-20130807;[1392608, 1395085, 1394643]
CBN-PdlC-A1-20130903;[1392608, 1394643, 1412857, 1395807, 1400176]
CBN-PdlC-A1-20140721;[1360299, 1412857, 1392608, 1394643]
CBN-PdlC-A1-20140811;[1412857, 1392608, 1395807, 1360299]
CBN-PdlC-A1-20140901;[1392608, 1394643, 1392611, 1412857]
CBN-PdlC-A1-20150701;[1394911, 1394643, 1392608, 1412857, 1360299, 1392535]
CBN-PdlC-A1-20150720;[1394643, 1392608, 1395807, 1412857, 1394641]
CBN-PdlC-A1-20150831;[1394643, 1412857, 1392608, 1360299, 1394641]
CBN-PdlC-A1-20160705;[1360299, 1394911, 1412857]
CBN-PdlC-A1-20160726;[1395807, 1392535, 1392608, 1392553, 1412857]
CBN-PdlC-A1-20170816;[1394643, 1412857, 1392608, 1392553]
CBN-PdlC-A1-20170906;[1412857, 1394643]
CBN-PdlC-A1-20180702;[1392534, 1392535, 1392553, 1394911]
CBN-PdlC-A1-20180815;[1360299, 1392608, 1412857]
CBN-PdlC-A1-20180905;[1412857, 1360299, 1394643]
CBN-PdlC-A1-20190701;[1397500, 1395112, 1394911, 1394540, 1737507, 1400176, 1395085, 1394322]
CBN-PdlC-A1-20190722;[1395807, 1392608]
CBN-PdlC-A1-20190812;[1412857, 1394643, 1392608, 1394641]
CBN-PdlC-A1-20190909;[1392608, 1412857, 1394643, 1392611]
CBN-PdlC-A1-20200629;[1396765, 1399688]
CBN-PdlC-A1-20200722;[1392608, 1395807, 1360299, 1394643]
CBN-PdlC-A1-20200812;[1412857, 1360299, 1392608, 1395807, 1394643, 1394641]
CBN-PdlC-A2-20130807;[1395807, 1395085]
CBN-PdlC-A2-20130903;[1395112, 1394643, 1400176, 1393200, 1395807, 1394641, 1412857]
CBN-PdlC-A2-20140721;[1412857, 1400176, 1395807, 1394322]
CBN-PdlC-A2-20140901;[1394643, 1412857, 1392535, 1392553, 1394641]
CBN-PdlC-A2-20150720;[1395807, 1394643]
CBN-PdlC-A2-20150810;[1412857, 1394643, 1395807, 1393200]
CBN-PdlC-A2-20150831;[1412857, 1395807, 1394643, 1393200]
CBN-PdlC-A2-20160705;[1393200, 1394322, 1394911, 1396185, 1412857]
CBN-PdlC-A2-20160726;[1395807]
CBN-PdlC-A2-20170816;[1395807, 1412857, 1394643]
CBN-PdlC-A2-20180702;[1393200, 1412241, 1395044, 1397500, 1395974]
CBN-PdlC-A2-20180723;[1393200, 1395807]
CBN-PdlC-A2-20180815;[1412857, 1395807, 1394643, 1393200]
CBN-PdlC-A2-20180905;[1412857, 1395807, 1394643, 1389929]
CBN-PdlC-A2-20190701;[1397500, 1392553, 1393200, 1412241, 1392534, 1392535]
CBN-PdlC-A2-20190722;[1395807, 1394643, 1412857, 1394641, 1397500]
CBN-PdlC-A2-20190812;[1395807, 1412857, 1394643]
CBN-PdlC-A2-20190909;[1395807, 1412857, 1394643]
CBN-PdlC-A2-20200629;[1399688, 1395974, 1396765]
CBN-PdlC-A2-20200722;[1395807, 1394643, 1397500, 1412857]
CBN-PdlC-A2-20200812;[1412857, 1394643, 1395807, 1394641, 1393200]
CBN-PdlC-A3-20130807;[1395807, 1394643, 1412857]
CBN-PdlC-A3-20130903;[1395807, 1394643, 1412857, 1392608]
CBN-PdlC-A3-20140721;[1392608, 1393200, 1397500, 1360299]
CBN-PdlC-A3-20140811;[1412857, 1392608, 1394643]
CBN-PdlC-A3-20140901;[1412857, 1394643, 1392608, 1393200]
CBN-PdlC-A3-20150701;[1394643, 1392608, 1412857, 1393200, 1737507]
CBN-PdlC-A3-20150720;[1394643, 1412857, 1395807, 1392608]
CBN-PdlC-A3-20150810;[1412857, 1394643]
CBN-PdlC-A3-20150831;[1412857, 1394643]
CBN-PdlC-A3-20160705;[1393200, 1412857, 1397500, 1392608]
CBN-PdlC-A3-20160726;[1395807, 1412857, 1393200, 1394643, 1392608, 1392535]
CBN-PdlC-A3-20170816;[1394643, 1412857]
CBN-PdlC-A3-20170906;[1412857, 1394643]
CBN-PdlC-A3-20180702;[1392553, 1392535, 1392534, 1397500, 1737507]
CBN-PdlC-A3-20180723;[1394643, 1412857, 1393200, 1392608]
CBN-PdlC-A3-20180815;[1394643, 1412857]
CBN-PdlC-A3-20180905;[1412857, 1394643]
CBN-PdlC-A3-20190701;[1392553, 1392534, 1392535, 1393200, 1397535]
CBN-PdlC-A3-20190722;[1412857, 1394643, 1394641, 1392608]
CBN-PdlC-A3-20190812;[1412857, 1394643, 1394641, 1392608]
CBN-PdlC-A3-20190909;[1394643, 1412857, 1395807]
CBN-PdlC-A3-20200629;[1360299, 1392611]
CBN-PdlC-A3-20200722;[1394643, 1412857, 1394641, 1393200]
CBN-PdlC-A3-20200812;[1412857, 1394643]
CBN-PdlC-A4-20130807;[1395807, 1397475, 1392608, 1397500]
CBN-PdlC-A4-20130903;[1397475, 1395190, 1392608, 1393200]
CBN-PdlC-A4-20140811;[1393200, 1395190, 1392608]
CBN-PdlC-A4-20140901;[1395190, 1393200, 1391654, 1392608, 1397475]
CBN-PdlC-A4-20150701;[1393200, 1392608, 1397475, 1395190]
CBN-PdlC-A4-20150810;[1393200, 1397475, 1392608]
CBN-PdlC-A4-20150831;[1393200, 1392608, 1395190, 1397475]
CBN-PdlC-A4-20160705;[1393200, 1397475, 1397500, 1395190]
CBN-PdlC-A4-20160726;[1392608, 1393200, 1360299]
CBN-PdlC-A4-20170816;[1397475, 1393200, 1395190]
CBN-PdlC-A4-20170906;[1395190, 1397475, 1393200]
CBN-PdlC-A4-20180702;[1397475, 1395190]
CBN-PdlC-A4-20180723;[1393200, 1392608]
CBN-PdlC-A4-20180815;[1397475, 1393200, 1395190]
CBN-PdlC-A4-20180905;[1395190, 1397475, 1393200, 1391648]
CBN-PdlC-A4-20190701;[1397475, 1741661, 1395190]
CBN-PdlC-A4-20190722;[1397475, 1395190]
CBN-PdlC-A4-20190812;[1395190, 1397475, 1393200]
CBN-PdlC-A4-20190909;[1397475, 1395190]
CBN-PdlC-A4-20200629;[1397475, 1395190]
CBN-PdlC-A4-20200722;[1397475]
CBN-PdlC-A4-20200812;[1397475, 1395190]
CBN-PdlC-A5-20130807;[1395807]
CBN-PdlC-A5-20130903;[1395807]
CBN-PdlC-A5-20140721;[1395807, 1397475]
CBN-PdlC-A5-20140811;[1395807]
CBN-PdlC-A5-20150701;[1395807]
CBN-PdlC-A5-20150831;[1395807, 1397475, 1360269, 1395870]
CBN-PdlC-A5-20160705;[1397475, 1395190]
CBN-PdlC-A5-20160726;[1395807, 1397475, 1359835, 1400176]
CBN-PdlC-A5-20170816;[1397475, 1395190]
CBN-PdlC-A5-20170906;[1395807, 1397475, 1395190]
CBN-PdlC-A5-20180815;[1395807, 1393200, 1395190, 1397475, 1400176, 1396974]
CBN-PdlC-A5-20180905;[1395807, 1359835, 1400176, 1392535]
CBN-PdlC-A5-20190909;[1397475, 1395807]
CBN-PdlC-A5-20200722;[1395807]
CBN-PdlC-A6-20130807;[1397475, 1395190]
CBN-PdlC-A6-20130903;[1397475, 1395190]
CBN-PdlC-A6-20140630;[1397475, 1741776, 1741661, 1395190, 1391144]
CBN-PdlC-A6-20140721;[1397475]
CBN-PdlC-A6-20140901;[1397475, 1395190]
CBN-PdlC-A6-20150701;[1397475, 1395190]
CBN-PdlC-A6-20150810;[1397475]
CBN-PdlC-A6-20150831;[1397475]
CBN-PdlC-A6-20160705;[1397475]
CBN-PdlC-A6-20160726;[1397475]
CBN-PdlC-A6-20170816;[1397475, 1395190]
CBN-PdlC-A6-20170906;[1397475, 1395190, 1391648]
CBN-PdlC-A6-20180702;[1397475, 1395190]
CBN-PdlC-A6-20180723;[1397475, 1395190]
CBN-PdlC-A6-20180815;[1397475, 1741661, 1395190]
CBN-PdlC-A6-20180905;[1397475, 1395190]
CBN-PdlC-A6-20190701;[1397475, 1741661, 1395190]
CBN-PdlC-A6-20190722;[1397475, 1395190]
CBN-PdlC-A6-20190812;[1397475, 1395190]
CBN-PdlC-A6-20190909;[1397475, 1395190, 1396971]
CBN-PdlC-A6-20200722;[1397475, 1395190, 1395807]
CBN-PdlC-A6-20200812;[1397475]
CBN-PdlC-B1-20130807;[1392608, 1395807, 1360299]
CBN-PdlC-B1-20130903;[1392608]
CBN-PdlC-B1-20140721;[1360299, 1392608]
CBN-PdlC-B1-20140811;[1392608, 1360299]
CBN-PdlC-B1-20140901;[1392608, 1360299]
CBN-PdlC-B1-20150701;[1392608, 1392612, 1737507]
CBN-PdlC-B1-20150720;[1392608, 1360299, 1395807]
CBN-PdlC-B1-20150810;[1392608, 1360299, 1392611]
CBN-PdlC-B1-20150831;[1392608, 1360299, 1392611, 1412857, 1395807]
CBN-PdlC-B1-20160705;[1392608, 1412857, 1360299, 1393200, 1392611]
CBN-PdlC-B1-20160726;[1392608]
CBN-PdlC-B1-20170816;[1392608, 1360299, 1395807, 1392611]
CBN-PdlC-B1-20170906;[1392608, 1360299, 1412857, 1394643]
CBN-PdlC-B1-20180702;[1360299, 1737507, 1357950, 1359973]
CBN-PdlC-B1-20180723;[1392608]
CBN-PdlC-B1-20180815;[1360299, 1392608, 1412857]
CBN-PdlC-B1-20180905;[1360299, 1392608, 1412857, 1392611]
CBN-PdlC-B1-20190701;[1737507, 1392608]
CBN-PdlC-B1-20190722;[1392608, 1360299]
CBN-PdlC-B1-20190812;[1392608, 1360299, 1392611]
CBN-PdlC-B1-20190909;[1392608, 1360299, 1392611, 1394643]
CBN-PdlC-B1-20200629;[1360299, 1399688, 1359937, 1395044]
CBN-PdlC-B1-20200722;[1392608, 1360299]
CBN-PdlC-B1-20200812;[1392608, 1360299, 1392611]
CBN-PdlC-B2-20130807;[1360299, 1392608]
CBN-PdlC-B2-20130903;[1392608, 1360299]
CBN-PdlC-B2-20140721;[1360299, 1392608]
CBN-PdlC-B2-20140811;[1392608, 1360299, 1392611]
CBN-PdlC-B2-20140901;[1392608, 1360299, 1392611]
CBN-PdlC-B2-20150701;[1392608, 1360299]
CBN-PdlC-B2-20150720;[1392608, 1360299]
CBN-PdlC-B2-20150810;[1360299, 1392608, 1392611]
