plot_id;species_ids
CBN-can-A1-20230705;[1395807, 1412857, 1392608, 1360299]
CBN-can-A2-20230705;[1395807, 1390659, 1743422]
CBN-can-A3-20230705;[1412857, 1393200, 1395807, 1392608, 1394643, 1394641]
CBN-can-A5-20230705;[1397475, 1395807, 1395190]
CBN-can-A6-20230705;[1397475]
CBN-can-B1-20230705;[1392608, 1395807, 1360299, 1392611]
CBN-can-B2-20230705;[1392608, 1400101, 1395807, 1360299, 1392611]
CBN-can-B3-20230705;[1412857, 1395807, 1393494, 1394643, 1742052, 1394641]
CBN-can-B4-20230705;[1397475]
CBN-can-B5-20230705;[1397475, 1395807, 1395190, 1400101]
CBN-can-B6-20230705;[1395807, 1397475, 1393679]
CBN-can-C1-20230705;[1395807, 1393200]
CBN-can-C2-20230705;[1395807]
CBN-can-C3-20230705;[1395807, 1360269]
CBN-can-C4-20230705;[1395807]
CBN-can-D1-20230705;[1395807]
CBN-can-D2-20230705;[1395807, 1412857, 1392323]
CBN-can-D3-20230705;[1395807, 1412857, 1647128, 1364066]
CBN-can-D4-20230705;[1395807, 1400101]
CBN-can-E1-20230706;[1392608, 1392323, 1395807, 1395120, 1360299, 1392611]
CBN-can-E2-20230706;[1395807, 1361284]
CBN-can-E3-20230706;[1395807, 1392535, 1395120, 1394911, 1397129, 1393687, 1392299, 1393684]
CBN-can-E4-20230706;[1395807, 1361284, 1393684, 1393929, 1393681, 1397430, 1393687, 1395097, 1361598, 1392299]
CBN-can-E5-20230706;[1392608, 1393200, 1395807, 1360299]
CBN-can-E6-20230706;[1395807, 1396843]
CBN-can-F1-20230705;[1395807, 1392535, 1392539]
CBN-can-F2-20230706;[1395807]
CBN-can-F3-20230706;[1395807, 1400084, 1395120, 1392309, 1391666, 1361284, 1392299, 1393684]
CBN-can-F4-20230706;[1395807, 1392323, 1393681, 1400084, 1393684, 1393660, 1397430, 1392608, 1361598]
CBN-can-F5-20230706;[1395807, 1392323, 1392608, 1361284, 1396843]
CBN-PdlC-A1-20130807;[1394911, 1395085, 1395120, 1394641, 1392608, 1395807, 1737507, 1392535, 1394643]
CBN-PdlC-A1-20130903;[1394641, 1412857, 1395807, 1395085, 1742053, 1388793, 1392608, 1394643]
CBN-PdlC-A1-20140721;[1412857, 1394911, 1392608, 1394643, 1392535, 1360299]
CBN-PdlC-A1-20140811;[1412857, 1392608, 1395807, 1388793]
CBN-PdlC-A1-20140901;[1394641, 1392608, 1412857, 1742053, 1388793, 1394643, 1392611]
CBN-PdlC-A1-20150701;[1394911, 1412857, 1394641, 1392608, 1392535, 1394643, 1388793, 1360299]
CBN-PdlC-A1-20150720;[1412857, 1392608, 1395807, 1742053, 1394643, 1394641]
CBN-PdlC-A1-20150831;[1412857, 1394641, 1742053, 1392608, 1394643, 1360299]
CBN-PdlC-A1-20160705;[1394911, 1412857, 1392535, 1392608, 1360299]
CBN-PdlC-A1-20160726;[1395807, 1392535, 1394641, 1412857, 1388793, 1392608, 1394911, 1392553]
CBN-PdlC-A1-20170816;[1412857, 1394641, 1392608, 1742053, 1394643, 1392535, 1388793, 1392553]
CBN-PdlC-A1-20170906;[1412857, 1742053, 1392608, 1395807, 1394643, 1360299]
CBN-PdlC-A1-20180702;[1394911, 1395974, 1392608, 1392534, 1392553, 1392535]
CBN-PdlC-A1-20180815;[1412857, 1742053, 1392608, 1359835, 1360299]
CBN-PdlC-A1-20180905;[1412857, 1742053, 1392608, 1360299, 1394643]
CBN-PdlC-A1-20190701;[1394911, 1393494, 1388793, 1395085, 1737507, 1741808, 1392608, 1392535, 1397500, 1395112]
CBN-PdlC-A1-20190722;[1395807, 1392612, 1742053, 1392608]
CBN-PdlC-A1-20190812;[1412857, 1395807, 1392608, 1742053, 1394643]
CBN-PdlC-A1-20190909;[1412857, 1392608, 1395807, 1742053, 1397463, 1392568, 1394643]
CBN-PdlC-A1-20200629;[1741669, 1395974, 1390933, 1393599, 1391851, 1357950, 1396765, 1399688]
CBN-PdlC-A1-20200722;[1412857, 1392608, 1395807, 1360299]
CBN-PdlC-A1-20200812;[1412857, 1395807, 1392608, 1742053, 1360299, 1394643, 1394641]
CBN-PdlC-A2-20130807;[1395807, 1394911, 1395085, 1397500, 1397471, 1741808]
CBN-PdlC-A2-20130903;[1393494, 1394641, 1388793, 1395085, 1395807, 1394643, 1395112, 1393200, 1400176, 1397500]
CBN-PdlC-A2-20140721;[1394911, 1392535, 1412857, 1388793, 1393494, 1743422, 1395807, 1394643, 1396408, 1400176, 1359835, 1394322]
CBN-PdlC-A2-20140901;[1412857, 1394641, 1393494, 1392535, 1394643, 1388793, 1392553]
CBN-PdlC-A2-20150720;[1395807]
CBN-PdlC-A2-20150810;[1412857, 1395807, 1743422, 1388793, 1394643]
CBN-PdlC-A2-20150831;[1412857, 1395807, 1392535, 1394643, 1393200]
CBN-PdlC-A2-20160705;[1394911, 1393494, 1392535, 1412857, 1393200, 1392608, 1388793, 1394322, 1397500, 1396094]
CBN-PdlC-A2-20160726;[1395807, 1412857]
CBN-PdlC-A2-20170816;[1412857, 1395807, 1393494, 1394643]
CBN-PdlC-A2-20180702;[1393494, 1743422, 1395974, 1394643, 1388793, 1394911, 1397535, 1392534, 1394605, 1737507, 1393200, 1412241, 1397500, 1395044]
CBN-PdlC-A2-20180723;[1395807, 1393494, 1395085, 1394911, 1393200, 1388793, 1392539, 1397500]
CBN-PdlC-A2-20180815;[1412857, 1395807, 1393494, 1393200]
CBN-PdlC-A2-20180905;[1412857, 1742053, 1395807, 1393494, 1359835, 1394643, 1389929]
CBN-PdlC-A2-20190701;[1394911, 1397500, 1393494, 1394597, 1392535, 1393965, 1393200, 1388793, 1737507, 1392534, 1392553, 1412241]
CBN-PdlC-A2-20190722;[1395807, 1412857, 1393494, 1742053, 1394643, 1397500, 1394641]
CBN-PdlC-A2-20190812;[1412857, 1395807, 1393494, 1394643, 1359835]
CBN-PdlC-A2-20190909;[1395807, 1412857]
CBN-PdlC-A2-20200629;[1399688, 1741669, 1356355, 1743422, 1360299, 1395974, 1396765]
CBN-PdlC-A2-20200722;[1395807, 1412857, 1397500, 1390659, 1393494, 1394643]
CBN-PdlC-A2-20200812;[1395807, 1412857, 1393494, 1742053, 1393200, 1359835, 1394643]
CBN-PdlC-A3-20130807;[1395807, 1412857, 1392608, 1394643, 1392535]
CBN-PdlC-A3-20130903;[1412857, 1395807, 1394641, 1392608, 1394643, 1392535, 1392541]
CBN-PdlC-A3-20140721;[1392608, 1397500, 1393200, 1360299]
CBN-PdlC-A3-20140811;[1412857, 1392608, 1742053, 1395807, 1394643]
CBN-PdlC-A3-20140901;[1412857, 1392608, 1394643, 1393200]
CBN-PdlC-A3-20150701;[1412857, 1392608, 1394641, 1393200, 1394911, 1394643, 1397500, 1737507]
CBN-PdlC-A3-20150720;[1412857, 1392608, 1395807, 1394643, 1394641]
CBN-PdlC-A3-20150810;[1412857, 1392608, 1394643, 1395807]
CBN-PdlC-A3-20150831;[1412857, 1394643, 1392608]
CBN-PdlC-A3-20160705;[1412857, 1392608, 1393200, 1397500]
CBN-PdlC-A3-20160726;[1412857, 1395807, 1393200, 1392608, 1394643, 1392535]
CBN-PdlC-A3-20170816;[1412857, 1394641, 1394643]
CBN-PdlC-A3-20170906;[1412857, 1394643, 1393200]
CBN-PdlC-A3-20180702;[1397500, 1392535, 1394911, 1412857, 1394643, 1393965, 1392534, 1737507, 1393200, 1392553]
CBN-PdlC-A3-20180723;[1412857, 1394641, 1392608, 1393200, 1392535, 1395807, 1394643, 1392539]
CBN-PdlC-A3-20180815;[1412857, 1388793, 1742053, 1394643, 1392608, 1392541]
CBN-PdlC-A3-20180905;[1412857, 1742053, 1394643]
CBN-PdlC-A3-20190701;[1394911, 1394597, 1393200, 1392535, 1392534, 1397535, 1737507, 1392541, 1392553]
CBN-PdlC-A3-20190722;[1412857, 1393200, 1742053, 1392608, 1395807, 1394643, 1394641]
CBN-PdlC-A3-20190812;[1412857, 1742053, 1395807, 1392608, 1357608, 1359835, 1393200, 1394643, 1394641]
CBN-PdlC-A3-20190909;[1412857, 1395807, 1392608, 1742053, 1394643, 1359835]
CBN-PdlC-A3-20200629;[1397500, 1363625, 1399688, 1357069, 1360299, 1361123, 1390933, 1390790, 1361703, 1393599, 1396765]
CBN-PdlC-A3-20200722;[1412857, 1393200, 1742053, 1394643, 1392608, 1392539, 1394641]
CBN-PdlC-A3-20200812;[1412857, 1742053, 1393200, 1395807, 1392608, 1394643]
CBN-PdlC-A4-20130807;[1395807, 1392608, 1393200, 1392534, 1397475, 1397500]
CBN-PdlC-A4-20130903;[1392608, 1393200, 1395190, 1397475, 1394911, 1397500]
CBN-PdlC-A4-20140811;[1393200, 1395190, 1392608, 1397475]
CBN-PdlC-A4-20140901;[1393200, 1395190, 1392608, 1391654, 1397475, 1359835]
CBN-PdlC-A4-20150701;[1393200, 1392608, 1394911, 1395190, 1397500, 1397475]
CBN-PdlC-A4-20150810;[1393200, 1392608, 1397475]
CBN-PdlC-A4-20150831;[1393200, 1392608, 1395190, 1397475]
CBN-PdlC-A4-20160705;[1393200, 1394911, 1397500, 1392608, 1395190, 1397475]
CBN-PdlC-A4-20160726;[1393200, 1392608, 1395190, 1397475]
CBN-PdlC-A4-20170816;[1393200, 1397475, 1392608, 1395190, 1388793]
CBN-PdlC-A4-20170906;[1395190, 1393200, 1392608, 1397475, 1360299]
CBN-PdlC-A4-20180702;[1397475, 1395190]
CBN-PdlC-A4-20180723;[1393200, 1392608]
CBN-PdlC-A4-20180815;[1393200, 1397475, 1395190, 1388793]
CBN-PdlC-A4-20180905;[1395190, 1393200, 1397475, 1392608, 1391648]
CBN-PdlC-A4-20190701;[1397475, 1741661, 1393200]
CBN-PdlC-A4-20190722;[1397475, 1395190, 1393200]
CBN-PdlC-A4-20190812;[1395190, 1392608, 1393200, 1397475]
CBN-PdlC-A4-20190909;[1397475, 1395190]
CBN-PdlC-A4-20200629;[1397475, 1395190]
CBN-PdlC-A4-20200722;[1397475, 1395190, 1393200, 1392608]
CBN-PdlC-A4-20200812;[1397475, 1393200, 1395190]
CBN-PdlC-A5-20130807;[1395807]
CBN-PdlC-A5-20130903;[1395807, 1359835, 1397475]
CBN-PdlC-A5-20140721;[1395807, 1394911, 1397475]
CBN-PdlC-A5-20140811;[1395807]
CBN-PdlC-A5-20150701;[1395807, 1394911]
CBN-PdlC-A5-20150831;[1395807, 1397475, 1359835, 1395870]
CBN-PdlC-A5-20160705;[1397475, 1394911, 1397500]
CBN-PdlC-A5-20160726;[1395807, 1397500, 1397475, 1359835, 1392535, 1400176]
CBN-PdlC-A5-20170816;[1397475, 1395807, 1395190]
CBN-PdlC-A5-20170906;[1395807, 1397475, 1359835]
CBN-PdlC-A5-20180815;[1395807, 1388793, 1394911, 1397475, 1393200, 1396974, 1395190, 1400176]
CBN-PdlC-A5-20180905;[1395807, 1392535, 1359835, 1397475, 1400176]
CBN-PdlC-A5-20190909;[1395807, 1397475, 1395758, 1395190, 1395862, 1359835, 1400176]
CBN-PdlC-A5-20200722;[1395807]
CBN-PdlC-A6-20130807;[1395190, 1397475, 1395807]
CBN-PdlC-A6-20130903;[1397475, 1395190]
CBN-PdlC-A6-20140630;[1397475, 1395805, 1391144, 1361703, 1737507, 1741776, 1741661, 1395190]
CBN-PdlC-A6-20140721;[1397475, 1395190, 1395807]
CBN-PdlC-A6-20140901;[1397475, 1395190]
CBN-PdlC-A6-20150701;[1397475, 1395190]
CBN-PdlC-A6-20150810;[1397475]
CBN-PdlC-A6-20150831;[1397475, 1395190]
CBN-PdlC-A6-20160705;[1397475]
CBN-PdlC-A6-20160726;[1397475, 1395190, 1395807]
CBN-PdlC-A6-20170816;[1397475, 1395807, 1395190]
CBN-PdlC-A6-20170906;[1397475, 1395190, 1391648]
CBN-PdlC-A6-20180702;[1397475, 1395190]
CBN-PdlC-A6-20180723;[1395190, 1397475, 1393200]
CBN-PdlC-A6-20180815;[1397475, 1395805, 1395862, 1741661, 1395190]
CBN-PdlC-A6-20180905;[1397475, 1395190]
CBN-PdlC-A6-20190701;[1397475, 1393200, 1741661, 1395190]
CBN-PdlC-A6-20190722;[1397475, 1395190, 1395807]
CBN-PdlC-A6-20190812;[1397475, 1395190, 1395807, 1400101]
CBN-PdlC-A6-20190909;[1397475, 1395190, 1359835]
CBN-PdlC-A6-20200722;[1395190, 1397475, 1395807]
CBN-PdlC-A6-20200812;[1397475, 1395807, 1395190]
CBN-PdlC-B1-20130807;[1392608, 1395807, 1392612, 1360299]
CBN-PdlC-B1-20130903;[1392608, 1360299]
CBN-PdlC-B1-20140721;[1392608, 1360299]
CBN-PdlC-B1-20140811;[1392608, 1360299]
CBN-PdlC-B1-20140901;[1392608, 1360299]
CBN-PdlC-B1-20150701;[1392608]
CBN-PdlC-B1-20150720;[1392608, 1395807, 1360299]
CBN-PdlC-B1-20150810;[1392608, 1360299, 1392611]
CBN-PdlC-B1-20150831;[1392608, 1412857, 1392611, 1392612, 1395807, 1360299]
CBN-PdlC-B1-20160705;[1392608, 1412857, 1393200, 1360299, 1394643]
CBN-PdlC-B1-20160726;[1392608, 1360299]
CBN-PdlC-B1-20170816;[1392608, 1395807, 1412857, 1360299, 1392611, 1394643]
CBN-PdlC-B1-20170906;[1392608, 1412857, 1360299, 1394643]
CBN-PdlC-B1-20180702;[1392608, 1741754, 1737507, 1362369, 1360299, 1392402, 1357950, 1397500]
CBN-PdlC-B1-20180723;[1392608]
CBN-PdlC-B1-20180815;[1412857, 1392608, 1360299, 1395807, 1363992, 1392612]
CBN-PdlC-B1-20180905;[1392608, 1412857, 1394840, 1360299, 1392611]
CBN-PdlC-B1-20190701;[1392608, 1737507, 1360299]
CBN-PdlC-B1-20190722;[1392608, 1360299]
CBN-PdlC-B1-20190812;[1392608, 1360299, 1392611]
CBN-PdlC-B1-20190909;[1392608, 1412857, 1360299, 1392611]
CBN-PdlC-B1-20200629;[1399688, 1395044, 1393494, 1359937, 1392608, 1360299]
CBN-PdlC-B1-20200722;[1392608, 1360299]
