img_name,top_50
CBN-can-A1-20230705.jpg,"[['1391313', 2.1021166], ['1742052', 1.9937744], ['1492664', 1.5489101], ['1392608', 1.5040882], ['1418612', 1.4288994], ['1394519', 1.3959594], ['1392558', 1.1594281], ['1358684', 0.8528855], ['1390642', 0.8212712], ['1398310', 0.80207855], ['1397463', 0.77165276], ['1392611', 0.7015657], ['1397070', 0.6674956], ['1738641', 0.58989304], ['1396253', 0.5464003], ['1395990', 0.51805305], ['1395807', 0.5129488], ['1391734', 0.50259024], ['1397510', 0.500389], ['1362025', 0.49389145], ['1394999', 0.48254892], ['1395862', 0.47433925], ['1391412', 0.46793646], ['1358703', 0.43811345], ['1412857', 0.41905567], ['1684973', 0.4179603], ['1392323', 0.40542722], ['1390764', 0.39533308], ['1397546', 0.39121163], ['1390539', 0.3898223], ['1393810', 0.3820357], ['1393659', 0.37991557], ['1701831', 0.37322167], ['1396754', 0.3609407], ['1390639', 0.35056478], ['1357574', 0.34041268], ['1743990', 0.33547947], ['1741880', 0.33333316], ['1393845', 0.3302607], ['1359794', 0.32577798], ['1362361', 0.30933782], ['1743101', 0.30852526], ['1363550', 0.3024748], ['1392549', 0.30093256], ['1363946', 0.29496047], ['1396717', 0.2944668], ['1389929', 0.2943048], ['1392227', 0.29299742], ['1388833', 0.29078287], ['1741903', 0.2855686]]"
CBN-can-A2-20230705.jpg,"[['1392767', 7.4105062], ['1360985', 3.9666147], ['1395807', 3.3808396], ['1363266', 2.6275344], ['1363421', 2.4879537], ['1391313', 1.8694146], ['1390690', 1.2154758], ['1358379', 0.786573], ['1724565', 0.7843138], ['1397070', 0.75860494], ['1391519', 0.7031429], ['1394999', 0.6347358], ['1390539', 0.62980807], ['1393824', 0.5338703], ['1400096', 0.5013597], ['1391881', 0.49689692], ['1738847', 0.47084954], ['1397468', 0.46651626], ['1363544', 0.46544698], ['1418211', 0.43246025], ['1396094', 0.40796557], ['1402995', 0.40588087], ['1738627', 0.3928908], ['1356589', 0.38614705], ['1397528', 0.36013377], ['1395862', 0.3564609], ['1394540', 0.30864844], ['1741706', 0.308177], ['1363476', 0.30757317], ['1392274', 0.29652512], ['1361079', 0.25477454], ['1362228', 0.25378853], ['1393977', 0.24711359], ['1393810', 0.23737559], ['1393708', 0.23678073], ['1397463', 0.2365566], ['1358142', 0.23145357], ['1360268', 0.22531706], ['1360991', 0.22124055], ['1357081', 0.21591493], ['1391750', 0.2128933], ['1738592', 0.21173121], ['1390532', 0.2103698], ['1369068', 0.20996493], ['1357367', 0.20979428], ['1492664', 0.20723952], ['1741903', 0.20135087], ['1360269', 0.20001002], ['1743801', 0.19334216], ['1390846', 0.19210239]]"
CBN-can-A3-20230705.jpg,"[['1394613', 3.489517], ['1393468', 2.6021554], ['1396717', 2.0688174], ['1392608', 1.8059602], ['1362025', 1.273615], ['1517350', 1.2592685], ['1738627', 1.2161626], ['1393224', 0.73122764], ['1396718', 0.70689887], ['1393845', 0.64749175], ['1362730', 0.6162866], ['1394643', 0.5995457], ['1359794', 0.59563845], ['1363946', 0.5818161], ['1374758', 0.56188226], ['1529289', 0.5570197], ['1392558', 0.54349655], ['1742052', 0.5385519], ['1390690', 0.5291376], ['1393200', 0.5186284], ['1743990', 0.51257634], ['1392611', 0.49645603], ['1412857', 0.48718235], ['1388766', 0.48551607], ['1397070', 0.47381407], ['1741564', 0.4690317], ['1646497', 0.46717477], ['1357574', 0.4418082], ['1392092', 0.4372152], ['1394496', 0.43396583], ['1362361', 0.42384633], ['1357220', 0.4081307], ['1393824', 0.39775917], ['1392323', 0.3936973], ['1356424', 0.38969195], ['1397463', 0.38849992], ['1391494', 0.384784], ['1738847', 0.37341473], ['1394999', 0.3658091], ['1396715', 0.35952458], ['1395805', 0.34226194], ['1395807', 0.3182184], ['1393619', 0.31689617], ['1492664', 0.31394726], ['1519650', 0.30765215], ['1388833', 0.3050924], ['1409318', 0.30359805], ['1360783', 0.29608026], ['1517773', 0.28873214], ['1393810', 0.28372234]]"
CBN-can-A5-20230705.jpg,"[['1738627', 5.625115], ['1360985', 3.6350455], ['1741903', 3.3727088], ['1361281', 2.4434817], ['1390764', 1.8652806], ['1397528', 1.6356262], ['1394613', 1.5663147], ['1392558', 1.0926356], ['1391519', 0.9205593], ['1397468', 0.8755464], ['1400096', 0.8227085], ['1363266', 0.81363636], ['1737699', 0.72153753], ['1361647', 0.69350356], ['1395805', 0.6696368], ['1392566', 0.66466683], ['1391499', 0.6549728], ['1391313', 0.6406194], ['1396754', 0.6326179], ['1395990', 0.5774329], ['1388833', 0.54123986], ['1363476', 0.49300924], ['1390539', 0.46871105], ['1399577', 0.41895136], ['1357081', 0.4152768], ['1397535', 0.40053666], ['1422217', 0.38832784], ['1363860', 0.36763775], ['1390674', 0.36742783], ['1724565', 0.3620577], ['1389929', 0.34983268], ['1396316', 0.33977365], ['1362422', 0.3382546], ['1489036', 0.33544597], ['1392767', 0.33284423], ['1646088', 0.3284605], ['1393824', 0.3261883], ['1389594', 0.32421955], ['1489184', 0.3078723], ['1394519', 0.3056428], ['1392549', 0.30528638], ['1392732', 0.30233353], ['1391312', 0.30203703], ['1394608', 0.29980004], ['1738592', 0.2932056], ['1363421', 0.28715044], ['1360472', 0.2836457], ['1738847', 0.28264427], ['1389346', 0.28061137], ['1622900', 0.27413955]]"
CBN-can-A6-20230705.jpg,"[['1397475', 11.370094], ['1741903', 6.9730783], ['1741661', 1.5484636], ['1743984', 1.3393252], ['1395190', 1.3206166], ['1646703', 1.156498], ['1358517', 1.0106214], ['1360591', 1.0097343], ['1360590', 0.9285033], ['1394380', 0.85487205], ['1418211', 0.4950175], ['1391648', 0.4753306], ['1391144', 0.35485625], ['1391654', 0.30472812], ['1546251', 0.2905286], ['1399923', 0.22134528], ['1394630', 0.21430416], ['1667293', 0.20979548], ['1743404', 0.20027946], ['1396210', 0.19024189], ['1391519', 0.18618076], ['1738935', 0.18419963], ['1739015', 0.17336562], ['1395805', 0.17215548], ['1397593', 0.15633282], ['1737669', 0.15335798], ['1357081', 0.15167645], ['1394648', 0.14846696], ['1363227', 0.14557889], ['1489036', 0.14257254], ['1722546', 0.14059767], ['1394445', 0.13945843], ['1738592', 0.13851418], ['1356500', 0.13483956], ['1392566', 0.13466492], ['1638030', 0.133151], ['1515981', 0.12704958], ['1722454', 0.12650768], ['1356150', 0.1244077], ['1394592', 0.12351903], ['1358379', 0.123493016], ['1363860', 0.121078975], ['1357367', 0.11657246], ['1646088', 0.11364034], ['1360268', 0.11219423], ['1548289', 0.1117068], ['1657500', 0.11117345], ['1356793', 0.11117038], ['1394613', 0.109719396], ['1743913', 0.10868091]]"
CBN-can-B1-20230705.jpg,"[['1392608', 18.021671], ['1392611', 11.733066], ['1362025', 1.0442021], ['1394519', 1.0199237], ['1358379', 1.0173877], ['1391313', 0.9885472], ['1358733', 0.7175666], ['1393406', 0.70981264], ['1393708', 0.70538616], ['1738641', 0.65481836], ['1738847', 0.630971], ['1393810', 0.58155715], ['1357220', 0.52357095], ['1359665', 0.5062534], ['1548289', 0.47519892], ['1517350', 0.47250628], ['1390642', 0.42748475], ['1359632', 0.41282457], ['1390690', 0.39132476], ['1738627', 0.39119357], ['1360299', 0.37133965], ['1394855', 0.370993], ['1361281', 0.34621492], ['1392458', 0.30929908], ['1458338', 0.30179837], ['1389004', 0.28866726], ['1400110', 0.28578058], ['1701831', 0.2648693], ['1391412', 0.25618902], ['1722440', 0.25537992], ['1743245', 0.25256115], ['1397070', 0.24920247], ['1363550', 0.23246586], ['1363944', 0.22245443], ['1394613', 0.22019188], ['1743990', 0.21599664], ['1357574', 0.21346816], ['1356401', 0.21297792], ['1737658', 0.20902823], ['1358655', 0.20100552], ['1742052', 0.19789366], ['1742060', 0.19529718], ['1362361', 0.18706477], ['1392612', 0.18466504], ['1419076', 0.18427202], ['1362697', 0.1817297], ['1667408', 0.17888102], ['1741903', 0.17007509], ['1361099', 0.16994789], ['1357575', 0.16828518]]"
CBN-can-B2-20230705.jpg,"[['1392608', 16.414633], ['1362471', 2.2395835], ['1390345', 2.139645], ['1390764', 1.7990841], ['1392611', 1.6546946], ['1392323', 1.3659722], ['1389929', 1.1550765], ['1519650', 0.9600277], ['1390820', 0.744515], ['1390883', 0.7287524], ['1393708', 0.6649276], ['1364172', 0.615655], ['1741564', 0.55555147], ['1394311', 0.5238534], ['1356149', 0.5045959], ['1722440', 0.5009597], ['1743924', 0.48316148], ['1392407', 0.47346467], ['1357817', 0.4489501], ['1396717', 0.42096162], ['1392612', 0.40942743], ['1453535', 0.3843023], ['1396439', 0.3643428], ['1362361', 0.34167844], ['1743101', 0.33603427], ['1358684', 0.29135042], ['1393213', 0.2795744], ['1395990', 0.27912483], ['1361281', 0.2783051], ['1362228', 0.272268], ['1394847', 0.26329526], ['1742895', 0.25756216], ['1697332', 0.23577395], ['1393659', 0.22653916], ['1523674', 0.22353199], ['1400080', 0.2222709], ['1701831', 0.21786995], ['1394866', 0.20987007], ['1390639', 0.2083444], ['1737633', 0.20160864], ['1742052', 0.19641113], ['1360780', 0.19373338], ['1667408', 0.19058236], ['1744002', 0.18749735], ['1390821', 0.18421355], ['1420558', 0.18170804], ['1394359', 0.17952266], ['1394884', 0.174808], ['1741903', 0.17344987], ['1392138', 0.17265695]]"
CBN-can-B3-20230705.jpg,"[['1529289', 2.084562], ['1394613', 1.9636902], ['1361281', 1.9565623], ['1517773', 1.7251534], ['1393468', 1.4594116], ['1361437', 1.3903522], ['1545740', 1.2097609], ['1743742', 1.1672059], ['1360070', 1.152338], ['1738627', 1.0585941], ['1482204', 1.0007367], ['1361099', 0.70640475], ['1664563', 0.62690806], ['1492664', 0.5926351], ['1738641', 0.5746213], ['1395990', 0.5346478], ['1358733', 0.5235243], ['1392323', 0.5078928], ['1412857', 0.46282443], ['1517350', 0.46174917], ['1390345', 0.44090757], ['1374758', 0.43350974], ['1742052', 0.4162858], ['1420558', 0.40691337], ['1741903', 0.40558395], ['1390539', 0.3759818], ['1390764', 0.35468218], ['1418211', 0.34706092], ['1362025', 0.3413635], ['1357081', 0.33845204], ['1361803', 0.33801225], ['1738847', 0.32772517], ['1397070', 0.32310233], ['1363016', 0.31951764], ['1743101', 0.3093323], ['1739015', 0.2945416], ['1391412', 0.28640935], ['1743924', 0.28579685], ['1392764', 0.28551748], ['1357575', 0.27365756], ['1741564', 0.2655602], ['1743133', 0.26429743], ['1737669', 0.2633008], ['1737647', 0.25857306], ['1390642', 0.25198162], ['1548459', 0.25025067], ['1394597', 0.24212264], ['1393810', 0.24110603], ['1394643', 0.24057671], ['1519650', 0.239995]]"
CBN-can-B4-20230705.jpg,"[['1397475', 45.001137], ['1741661', 2.5518692], ['1741903', 1.8571327], ['1743984', 1.399816], ['1358517', 1.0113149], ['1360591', 0.985361], ['1395190', 0.9577673], ['1360590', 0.8103179], ['1391648', 0.38943025], ['1395990', 0.3873623], ['1395805', 0.3399043], ['1646088', 0.30066663], ['1398749', 0.2560863], ['1646703', 0.2472359], ['1394380', 0.2232879], ['1396210', 0.1983239], ['1360070', 0.17270821], ['1638030', 0.17150193], ['1363227', 0.1643818], ['1722546', 0.15686603], ['1391144', 0.15077345], ['1397325', 0.15008134], ['1392681', 0.14234257], ['1392662', 0.13670582], ['1393824', 0.12466794], ['1548459', 0.123521484], ['1395920', 0.119302675], ['1394630', 0.11490987], ['1741706', 0.11428864], ['1397513', 0.1112613], ['1359727', 0.10825019], ['1701831', 0.106808454], ['1390764', 0.10455182], ['1397103', 0.10384708], ['1411700', 0.10335909], ['1399885', 0.101431444], ['1394592', 0.093848616], ['1391654', 0.08881498], ['1394530', 0.08609578], ['1361819', 0.082785025], ['1743404', 0.0813579], ['1356150', 0.07937561], ['1389028', 0.07223196], ['1742115', 0.072158955], ['1737493', 0.07184583], ['1743352', 0.07182915], ['1395870', 0.071337834], ['1392567', 0.06854917], ['1396984', 0.068277456], ['1743719', 0.066694155]]"
CBN-can-B5-20230705.jpg,"[['1392566', 3.782506], ['1397475', 3.0518239], ['1741903', 2.5272646], ['1391499', 2.4654665], ['1397535', 1.8725431], ['1738627', 1.7287171], ['1489036', 1.6784704], ['1392558', 1.3788673], ['1549015', 1.1975359], ['1432876', 1.1726488], ['1397325', 1.154343], ['1390764', 0.99087757], ['1743101', 0.8307379], ['1390660', 0.6992949], ['1363860', 0.6667017], ['1741661', 0.64354646], ['1389929', 0.601364], ['1400096', 0.556425], ['1657500', 0.5217217], ['1363266', 0.512533], ['1356150', 0.49899045], ['1392549', 0.4945457], ['1362271', 0.49373773], ['1391833', 0.4850872], ['1418211', 0.48485747], ['1394380', 0.4722362], ['1391519', 0.46289036], ['1395805', 0.4539388], ['1397528', 0.4388329], ['1391313', 0.43789357], ['1361281', 0.4359589], ['1395990', 0.42441776], ['1390674', 0.4161616], ['1397333', 0.40079406], ['1360985', 0.40063873], ['1417689', 0.3890055], ['1395190', 0.3862857], ['1392535', 0.37463847], ['1724565', 0.36244246], ['1390672', 0.35891315], ['1395292', 0.3191663], ['1737422', 0.31819102], ['1743392', 0.2858854], ['1361647', 0.28496575], ['1741706', 0.28157675], ['1389815', 0.27794117], ['1391312', 0.27709556], ['1737491', 0.27699953], ['1392559', 0.2753169], ['1392567', 0.27131006]]"
