plot_id;species_ids
CBN-can-A1-20230705;[1395974, 1394847]
CBN-can-A2-20230705;[1394999, 1392767]
CBN-can-A3-20230705;[1498118, 1393824]
CBN-can-A5-20230705;[1391499, 1393824, 1724565, 1392767]
CBN-can-A6-20230705;[1741661]
CBN-can-B1-20230705;[1362361, 1392611]
CBN-can-B2-20230705;[1392611, 1362361, 1390345]
CBN-can-B3-20230705;[1529289, 1412857, 1356301]
CBN-can-B4-20230705;[1741661]
CBN-can-B5-20230705;[1741661]
CBN-can-B6-20230705;[1393679, 1741661]
CBN-can-C1-20230705;[1391499, 1390690]
CBN-can-C2-20230705;[1392767, 1724565]
CBN-can-C3-20230705;[1392767, 1724565]
CBN-can-C4-20230705;[1724565, 1397528]
CBN-can-D1-20230705;[1392767]
CBN-can-D2-20230705;[1361134, 1393824, 1724565]
CBN-can-D3-20230705;[1425722, 1396857]
CBN-can-D4-20230705;[1724565]
CBN-can-E1-20230706;[1392323]
CBN-can-E2-20230706;[1397528]
CBN-can-E3-20230706;[1392549]
CBN-can-E4-20230706;[1648093, 1394663]
CBN-can-E5-20230706;[1392611]
CBN-can-E6-20230706;[1724565, 1549015]
CBN-can-F1-20230705;[1724565, 1397528, 1360984]
CBN-can-F2-20230706;[1724565]
CBN-can-F3-20230706;[1390756, 1392309, 1392323]
CBN-can-F4-20230706;[1391666, 1392333, 1361284, 1363593, 1392323]
CBN-can-F5-20230706;[1392323]
CBN-PdlC-A1-20130807;[1412857, 1391767, 1743422, 1548995]
CBN-PdlC-A1-20130903;[1412857]
CBN-PdlC-A1-20140721;[1391767, 1744023]
CBN-PdlC-A1-20140811;[1412857, 1548995]
CBN-PdlC-A1-20140901;[1362331, 1412857]
CBN-PdlC-A1-20150701;[1396733, 1394270]
CBN-PdlC-A1-20150720;[1412857]
CBN-PdlC-A1-20150831;[1412857]
CBN-PdlC-A1-20160705;[1412857, 1394311, 1394908]
CBN-PdlC-A1-20160726;[1548995, 1549015, 1392561]
CBN-PdlC-A1-20170816;[1742052, 1412857]
CBN-PdlC-A1-20170906;[1412857]
CBN-PdlC-A1-20180702;[1397513, 1397468, 1744023]
CBN-PdlC-A1-20180815;[1412857]
CBN-PdlC-A1-20180905;[1412857]
CBN-PdlC-A1-20190701;[1359667, 1482204]
CBN-PdlC-A1-20190722;[1393824, 1412857]
CBN-PdlC-A1-20190812;[1412857]
CBN-PdlC-A1-20190909;[1394311, 1361372]
CBN-PdlC-A1-20200629;[1396733]
CBN-PdlC-A1-20200722;[1395974]
CBN-PdlC-A1-20200812;[1412857]
CBN-PdlC-A2-20130807;[1391499]
CBN-PdlC-A2-20130903;[1391499]
CBN-PdlC-A2-20140721;[1391767, 1394322, 1391499, 1394554]
CBN-PdlC-A2-20140901;[1412857, 1391767]
CBN-PdlC-A2-20150720;[1391499]
CBN-PdlC-A2-20150810;[1412857]
CBN-PdlC-A2-20150831;[1412857]
CBN-PdlC-A2-20160705;[1394322]
CBN-PdlC-A2-20160726;[1391499, 1395870, 1395807]
CBN-PdlC-A2-20170816;[1395807]
CBN-PdlC-A2-20180702;[1395974, 1391427]
CBN-PdlC-A2-20180723;[1391499, 1360985]
CBN-PdlC-A2-20180815;[1393824, 1412857, 1395807]
CBN-PdlC-A2-20180905;[1396253, 1395807, 1393824, 1397468, 1396974]
CBN-PdlC-A2-20190701;[1359667]
CBN-PdlC-A2-20190722;[1392549, 1742052, 1549015]
CBN-PdlC-A2-20190812;[1391499, 1391734]
CBN-PdlC-A2-20190909;[1412857, 1742052]
CBN-PdlC-A2-20200629;[1396733]
CBN-PdlC-A2-20200722;[1391499, 1391734, 1724565]
CBN-PdlC-A2-20200812;[1391499, 1391734]
CBN-PdlC-A3-20130807;[1393824]
CBN-PdlC-A3-20130903;[1412857, 1393824, 1394866]
CBN-PdlC-A3-20140721;[1423209, 1393824, 1356882, 1529289, 1412857]
CBN-PdlC-A3-20140811;[1412857]
CBN-PdlC-A3-20140901;[1412857]
CBN-PdlC-A3-20150701;[1412857]
CBN-PdlC-A3-20150720;[1390421, 1412857, 1362228]
CBN-PdlC-A3-20150810;[1412857]
CBN-PdlC-A3-20150831;[1412857]
CBN-PdlC-A3-20160705;[1412857]
CBN-PdlC-A3-20160726;[1412857]
CBN-PdlC-A3-20170816;[1412857, 1742052]
CBN-PdlC-A3-20170906;[1412857]
CBN-PdlC-A3-20180702;[1535234, 1529289]
CBN-PdlC-A3-20180723;[1412857]
CBN-PdlC-A3-20180815;[1412857]
CBN-PdlC-A3-20180905;[1412857]
CBN-PdlC-A3-20190701;[1743506, 1744235]
CBN-PdlC-A3-20190722;[1412857, 1394641]
CBN-PdlC-A3-20190812;[1412857, 1393824]
CBN-PdlC-A3-20190909;[1412857]
CBN-PdlC-A3-20200629;[1361820, 1744294]
CBN-PdlC-A3-20200722;[1412857]
CBN-PdlC-A3-20200812;[1412857]
CBN-PdlC-A4-20130807;[1360984, 1394999, 1393824]
CBN-PdlC-A4-20130903;[1393824, 1396733]
CBN-PdlC-A4-20140811;[1737647, 1393824, 1498118, 1393200]
CBN-PdlC-A4-20140901;[1498118, 1392138, 1396733]
CBN-PdlC-A4-20150701;[1396733, 1392611]
CBN-PdlC-A4-20150810;[1395974, 1396733, 1390674, 1396974]
CBN-PdlC-A4-20150831;[1498118, 1393824]
CBN-PdlC-A4-20160705;[1393824, 1394674]
CBN-PdlC-A4-20160726;[1392608, 1392611]
CBN-PdlC-A4-20170816;[1396974, 1397513, 1393824]
CBN-PdlC-A4-20170906;[1393824, 1396733, 1390764, 1390910]
CBN-PdlC-A4-20180702;[1397475, 1741661, 1358517]
CBN-PdlC-A4-20180723;[1651363, 1392323, 1361141, 1651485]
CBN-PdlC-A4-20180815;[1498118, 1358500, 1391305]
CBN-PdlC-A4-20180905;[1498118]
CBN-PdlC-A4-20190701;[1397475, 1741661]
CBN-PdlC-A4-20190722;[1741661]
CBN-PdlC-A4-20190812;[1394663, 1392732, 1391207]
CBN-PdlC-A4-20190909;[1741661]
CBN-PdlC-A4-20200629;[1741661, 1397475, 1399738]
CBN-PdlC-A4-20200722;[1741661]
CBN-PdlC-A4-20200812;[1741661, 1397475, 1358500]
CBN-PdlC-A5-20130807;[1360269, 1395807, 1395870]
CBN-PdlC-A5-20130903;[1393824, 1395807, 1396733]
CBN-PdlC-A5-20140721;[1395807]
CBN-PdlC-A5-20140811;[1393824, 1395807]
CBN-PdlC-A5-20150701;[1360985, 1394999, 1360984, 1360874]
CBN-PdlC-A5-20150831;[1393824, 1396974, 1360269, 1741880, 1397528]
CBN-PdlC-A5-20160705;[1396733, 1393824]
CBN-PdlC-A5-20160726;[1393824, 1395807]
CBN-PdlC-A5-20170816;[1741661]
CBN-PdlC-A5-20170906;[1396974, 1396733]
CBN-PdlC-A5-20180815;[1392407, 1622910, 1396733, 1647677, 1391499]
CBN-PdlC-A5-20180905;[1391767, 1396974]
CBN-PdlC-A5-20190909;[1394311, 1362331]
CBN-PdlC-A5-20200722;[1393824]
CBN-PdlC-A6-20130807;[1741661]
CBN-PdlC-A6-20130903;[1741661, 1646703]
CBN-PdlC-A6-20140630;[1741661]
CBN-PdlC-A6-20140721;[1741661]
CBN-PdlC-A6-20140901;[1741661, 1360591]
CBN-PdlC-A6-20150701;[1741661]
CBN-PdlC-A6-20150810;[1741661]
CBN-PdlC-A6-20150831;[1741661]
CBN-PdlC-A6-20160705;[1741661]
CBN-PdlC-A6-20160726;[1741661]
CBN-PdlC-A6-20170816;[1741661]
CBN-PdlC-A6-20170906;[1741661]
CBN-PdlC-A6-20180702;[1741661]
CBN-PdlC-A6-20180723;[1741661]
CBN-PdlC-A6-20180815;[1741661]
CBN-PdlC-A6-20180905;[1741661]
CBN-PdlC-A6-20190701;[1741661]
CBN-PdlC-A6-20190722;[1741661]
CBN-PdlC-A6-20190812;[1741661]
CBN-PdlC-A6-20190909;[1741661]
CBN-PdlC-A6-20200722;[1741661]
CBN-PdlC-A6-20200812;[1741661]
CBN-PdlC-B1-20130807;[1392611, 1664563]
CBN-PdlC-B1-20130903;[1392606, 1667408, 1392608, 1392611]
CBN-PdlC-B1-20140721;[1392611, 1360299]
CBN-PdlC-B1-20140811;[1667408, 1392611]
CBN-PdlC-B1-20140901;[1392611, 1667408]
CBN-PdlC-B1-20150701;[1394847, 1394866, 1667408]
CBN-PdlC-B1-20150720;[1667408, 1362361]
CBN-PdlC-B1-20150810;[1392611, 1667408]
CBN-PdlC-B1-20150831;[1667408, 1394847, 1392611, 1394866]
CBN-PdlC-B1-20160705;[1664563, 1396733, 1395974]
CBN-PdlC-B1-20160726;[1392611, 1667408, 1392612, 1392608]
CBN-PdlC-B1-20170816;[1667408, 1362361, 1394847, 1394866]
CBN-PdlC-B1-20170906;[1394866, 1362361, 1394847]
CBN-PdlC-B1-20180702;[1396733, 1397513, 1356424]
CBN-PdlC-B1-20180723;[1363992, 1362361, 1667408]
CBN-PdlC-B1-20180815;[1667408, 1667780]
CBN-PdlC-B1-20180905;[1394847, 1394866]
CBN-PdlC-B1-20190701;[1664563, 1396733, 1739015]
CBN-PdlC-B1-20190722;[1362361, 1667408, 1392611]
CBN-PdlC-B1-20190812;[1667408, 1392611, 1394866]
CBN-PdlC-B1-20190909;[1394311, 1361372, 1362361, 1394866]
CBN-PdlC-B1-20200629;[1396733, 1361373, 1359587]
CBN-PdlC-B1-20200722;[1392611, 1360299, 1358655]
CBN-PdlC-B1-20200812;[1667408]
CBN-PdlC-B2-20130807;[1392611, 1392608, 1394847]
CBN-PdlC-B2-20130903;[1392611, 1667408]
CBN-PdlC-B2-20140721;[1392611, 1667408]
CBN-PdlC-B2-20140811;[1392611]
CBN-PdlC-B2-20140901;[1392611, 1667408, 1392608]
CBN-PdlC-B2-20150701;[1392608, 1392612, 1394847]
CBN-PdlC-B2-20150720;[1667408, 1392611]
CBN-PdlC-B2-20150810;[1667408, 1392611]
