img_name,top_50
CBN-can-A1-20230705.jpg,"[['1395974', 1.2408028619499198], ['1394847', 1.1196882515404087], ['1396733', 0.7975933516331312], ['1392611', 0.7643748673614856], ['1393824', 0.7632629123582713], ['1548995', 0.7551120007550596], ['1394999', 0.6105287940209356], ['1724565', 0.5558323601246348], ['1395146', 0.46339091436375923], ['1396253', 0.4470278162711166], ['1394841', 0.44019299652814803], ['1396140', 0.4226977164386507], ['1361367', 0.4064162352180088], ['1389929', 0.3948094767702214], ['1362331', 0.37828655823869806], ['1395990', 0.35384316875347827], ['1498118', 0.3463416378835719], ['1392138', 0.30722262907647735], ['1396869', 0.3012709240036847], ['1398569', 0.29704584877780066], ['1394866', 0.2853537556920837], ['1397466', 0.2817945758127204], ['1394871', 0.27345566799646015], ['1391734', 0.26166210992902017], ['1392608', 0.2599875228334876], ['1394311', 0.2559902947330701], ['1361372', 0.2438231708751445], ['1609716', 0.24079204293753045], ['1362361', 0.22708971594271993], ['1393615', 0.22382715168946668], ['1396974', 0.21901628131408973], ['1395020', 0.21881455344021825], ['1400176', 0.21847727726952748], ['1392407', 0.2172230450630089], ['1397725', 0.20277090367510367], ['1412857', 0.20092151565470331], ['1397546', 0.20085316909832446], ['1391207', 0.20079116484108422], ['1392764', 0.19626899872193793], ['1391427', 0.19279182237346207], ['1391767', 0.1889569917980455], ['1391881', 0.1873270047559165], ['1743605', 0.18493264271711293], ['1396561', 0.18398543668077327], ['1392658', 0.1809926652930397], ['1395928', 0.1775676298559487], ['1362368', 0.1775545486924086], ['1389543', 0.1753806980778987], ['1396279', 0.17316384122577827], ['1356432', 0.17281565974427737]]"
CBN-can-A2-20230705.jpg,"[['1394999', 8.045345662430755], ['1392767', 6.726476170557256], ['1724565', 3.558750240173502], ['1360984', 3.4688191691075105], ['1391499', 2.4236684651571707], ['1393824', 2.063839612706672], ['1391734', 1.6024917665912324], ['1391313', 1.393409997082837], ['1390690', 1.2180893388235532], ['1697320', 0.8508902938226849], ['1360985', 0.8312955763207933], ['1360991', 0.793376064442599], ['1397528', 0.7301349976315448], ['1360874', 0.6677759110047867], ['1737647', 0.6650833781329114], ['1396309', 0.6446793184787634], ['1397468', 0.6426251227618789], ['1389986', 0.5432040468362345], ['1397350', 0.4761859133875189], ['1395974', 0.45198049640423665], ['1418211', 0.43724037943972166], ['1395807', 0.4090162949284331], ['1743977', 0.3940454785302848], ['1398569', 0.3571317774649176], ['1364071', 0.3448637241953691], ['1359833', 0.33203006558223747], ['1397135', 0.33117005556936285], ['1390659', 0.3222371546746383], ['1515981', 0.3137400797559106], ['1390674', 0.31024018898586886], ['1397500', 0.288056917666309], ['1394754', 0.2782342597338794], ['1738847', 0.2684882006607024], ['1397193', 0.266048693607472], ['1395001', 0.2653346598184594], ['1392766', 0.26407195360603763], ['1491707', 0.2550478383178289], ['1400096', 0.25297653479174825], ['1389810', 0.2483794406347347], ['1391975', 0.24549181952653087], ['1414270', 0.23988037478452304], ['1666930', 0.23650159026234863], ['1394380', 0.2320516842665187], ['1397548', 0.229507048493684], ['1397338', 0.22653098954001794], ['1688091', 0.21554959694625447], ['1359835', 0.2121939478103611], ['1397123', 0.1882099395494034], ['1362422', 0.18777293839150253], ['1356752', 0.1871043045298668]]"
CBN-can-A3-20230705.jpg,"[['1498118', 1.5680878876143372], ['1393824', 0.8926148938178641], ['1395974', 0.6409697698077902], ['1482204', 0.5301139111485952], ['1391499', 0.45366856929241167], ['1518245', 0.3449459440519144], ['1423209', 0.3389140899688108], ['1395285', 0.3235514125385415], ['1356301', 0.3097336961883414], ['1412857', 0.3024987840810375], ['1392611', 0.2961003752237824], ['1393524', 0.2957606513351578], ['1360984', 0.2603156081379335], ['1744023', 0.25508966897756036], ['1398569', 0.25228999689671394], ['1374758', 0.24443371337109798], ['1399923', 0.23999151620829368], ['1409318', 0.22538796209749384], ['1364071', 0.21911721859201747], ['1394999', 0.21236389303877257], ['1396733', 0.20283016167559212], ['1687910', 0.19835483798571427], ['1358176', 0.19640046741084463], ['1609716', 0.19248646830887106], ['1742052', 0.18520349884521073], ['1396352', 0.1844780281253034], ['1391771', 0.1811256037005411], ['1397500', 0.18103571752928144], ['1737647', 0.1791922541561597], ['1392652', 0.17582593633769242], ['1362361', 0.1748925131029617], ['1394445', 0.17287115061711655], ['1743448', 0.1697900390738755], ['1397255', 0.16676845487619632], ['1393653', 0.16280746009391883], ['1359511', 0.16179672815890878], ['1689240', 0.16129675567647409], ['1721018', 0.15931887704456707], ['1357574', 0.15828537866585493], ['1356448', 0.15477460437024773], ['1362228', 0.1544916839102375], ['1391427', 0.1537123034400182], ['1360300', 0.14634527205415426], ['1361526', 0.14202540197903749], ['1362025', 0.13968555710759087], ['1396825', 0.13968542389312621], ['1369068', 0.13717400398239232], ['1396715', 0.13635179298836125], ['1397338', 0.13397646995984236], ['1389582', 0.13336145990461148]]"
CBN-can-A5-20230705.jpg,"[['1391499', 2.8838867637811623], ['1393824', 2.173480277965804], ['1724565', 2.000674725701663], ['1392767', 1.7827245197461143], ['1360984', 1.5009805178583402], ['1738627', 1.0327969544317308], ['1397548', 0.9792757305884631], ['1391734', 0.9346756351061192], ['1646703', 0.9192489558226786], ['1738847', 0.7511751591527641], ['1389800', 0.6940463375891202], ['1741661', 0.6387400320769666], ['1400176', 0.6378315224775168], ['1743506', 0.5957505805596711], ['1362422', 0.5723682346625739], ['1390674', 0.568540199274747], ['1390659', 0.5401878403026279], ['1397528', 0.5247982609976644], ['1399798', 0.5165023991162746], ['1397500', 0.5126501225224628], ['1489133', 0.5086356657569236], ['1391313', 0.5048129351508844], ['1390660', 0.5005131906865695], ['1356301', 0.49909610863621773], ['1743953', 0.463240621758214], ['1418211', 0.4601033849713141], ['1392274', 0.4516204737305545], ['1489036', 0.43914301001802003], ['1697320', 0.43680211019807696], ['1394999', 0.4347283792833997], ['1744235', 0.4182131689591821], ['1390672', 0.3911695472683977], ['1509735', 0.36135908468922123], ['1739015', 0.34565855039593874], ['1688091', 0.3419525751985547], ['1356752', 0.33830714288933955], ['1395990', 0.3362367039766815], ['1360985', 0.3342570262455694], ['1361526', 0.32963693007179823], ['1395285', 0.3194231681870202], ['1360991', 0.30130177103345546], ['1395920', 0.2942483114827079], ['1395870', 0.2874390467462583], ['1392549', 0.28570866491853797], ['1397255', 0.28071801032394095], ['1364071', 0.27442604430306117], ['1390658', 0.25753733794756245], ['1398569', 0.24336798296143236], ['1356150', 0.23000770767755982], ['1361316', 0.2183173407735183]]"
CBN-can-A6-20230705.jpg,"[['1741661', 48.551301949584136], ['1397475', 5.071281413627904], ['1391144', 3.260254739935325], ['1358517', 2.8327110350284657], ['1646703', 2.5829246879587333], ['1395190', 2.13260137670188], ['1360591', 1.7496329153430707], ['1741903', 0.6479244240273899], ['1360590', 0.5986589364886807], ['1389800', 0.5268708643528544], ['1391648', 0.41556136288759626], ['1356150', 0.3477531835391285], ['1360268', 0.2674434919997383], ['1389028', 0.23286871567749456], ['1743984', 0.21745759974943993], ['1360110', 0.2147074979636926], ['1391654', 0.199675190368663], ['1357103', 0.19616619605301003], ['1395805', 0.18183615423990174], ['1665997', 0.17072553193925405], ['1395862', 0.15326113322692614], ['1638030', 0.15289631127235367], ['1515981', 0.1484435374583135], ['1418211', 0.14476290744428125], ['1360325', 0.1412778501941352], ['1546251', 0.13625751573501124], ['1389810', 0.13460907650097972], ['1376006', 0.13196503376648847], ['1392681', 0.13110044584451072], ['1393874', 0.13007748491796597], ['1358379', 0.12334536175474682], ['1743801', 0.11898739368616734], ['1382844', 0.11589462336831641], ['1722605', 0.11135638754039494], ['1666930', 0.10461617979859289], ['1739015', 0.10443535390349379], ['1737701', 0.10038800702345527], ['1390660', 0.0986953449232708], ['1396971', 0.09696892002444023], ['1357104', 0.09324582853645916], ['1495410', 0.09299282179761047], ['1742895', 0.09186424928418045], ['1417689', 0.08834818680719371], ['1741706', 0.08807923251935176], ['1737633', 0.08794061752041571], ['1739270', 0.08648310874416863], ['1363815', 0.08594981579132385], ['1738847', 0.08592858866685774], ['1395920', 0.07964264988615251], ['1396970', 0.07888988844957678]]"
CBN-can-B1-20230705.jpg,"[['1362361', 4.1449190430895655], ['1392611', 2.0089840084753434], ['1392606', 1.2416608622975647], ['1392608', 1.2223226815525112], ['1360299', 1.0725750128611944], ['1667408', 0.962191176666804], ['1355992', 0.8611008835036624], ['1394884', 0.8314869757947053], ['1393615', 0.8240310251533447], ['1394866', 0.6505012397688489], ['1394863', 0.622170247940511], ['1359632', 0.5859312014005023], ['1394847', 0.48328494126896293], ['1360154', 0.47583178070359483], ['1394857', 0.43169755401019605], ['1394864', 0.42409473147684484], ['1664563', 0.42275207092643713], ['1400080', 0.40438313525012315], ['1395943', 0.3906234016138931], ['1394855', 0.3789001082398674], ['1358655', 0.3768226571214092], ['1517350', 0.35612502598291473], ['1397466', 0.3349184851517759], ['1398569', 0.3322996108153977], ['1360780', 0.3202425849461507], ['1722444', 0.31715145693958147], ['1360471', 0.3116279162454719], ['1744867', 0.3011206464456539], ['1359813', 0.2699301394974888], ['1667780', 0.2677917266773586], ['1383109', 0.26104530712701457], ['1355993', 0.26077234936479177], ['1356001', 0.2564394817028354], ['1362025', 0.2405222160361464], ['1398781', 0.23284749658880055], ['1518014', 0.22431855394904177], ['1392137', 0.22247055327374285], ['1395146', 0.2187506712936256], ['1392658', 0.21702536500963734], ['1356448', 0.21596192050182525], ['1666569', 0.21132579624580997], ['1369068', 0.209153446818986], ['1396899', 0.19845704888435262], ['1357511', 0.19715320953302773], ['1360516', 0.18246768055832002], ['1400126', 0.18236491030258728], ['1358934', 0.18204739768487152], ['1394871', 0.1818140799973359], ['1396733', 0.1800910266801649], ['1550162', 0.17579926621900385]]"
CBN-can-B2-20230705.jpg,"[['1392611', 2.8953648900048217], ['1362361', 2.364648530163655], ['1390345', 2.099523684588294], ['1400080', 1.395936548960425], ['1394847', 1.0753846432724625], ['1392608', 0.7572559882387386], ['1360299', 0.664132061181721], ['1667408', 0.6339280812566799], ['1389929', 0.580675862916512], ['1360780', 0.5779742044001438], ['1394866', 0.558326147775369], ['1394311', 0.525113232913455], ['1392606', 0.48002508300123475], ['1400126', 0.40134686772737144], ['1358858', 0.3835115166562758], ['1411089', 0.3508738110482762], ['1394863', 0.32664155326359223], ['1395937', 0.3141228693326757], ['1390793', 0.3137092846257824], ['1362331', 0.3120300298994054], ['1395974', 0.3077236112042578], ['1394884', 0.3040570296657262], ['1362368', 0.3031671075001452], ['1362055', 0.2885090566144054], ['1359813', 0.27664570049101445], ['1392904', 0.2701845114908677], ['1358934', 0.2638481820677227], ['1394864', 0.2579727100942113], ['1521055', 0.25200579096955233], ['1360298', 0.25193886754837347], ['1360154', 0.23477160291765398], ['1518014', 0.22758473739172635], ['1396754', 0.22256958677716637], ['1742051', 0.22219425841366178], ['1390951', 0.21835526681109554], ['1398781', 0.21486458093765998], ['1393615', 0.2109642325695642], ['1397540', 0.21074173195613785], ['1478627', 0.209137524833731], ['1392114', 0.20233472737728125], ['1358935', 0.20098701038391587], ['1373840', 0.19740097292565195], ['1738721', 0.19697752177181593], ['1358886', 0.19584522096423723], ['1358622', 0.18971427851151676], ['1548995', 0.1865071084901056], ['1400101', 0.18142210504341802], ['1391207', 0.1776228862468002], ['1357511', 0.17504170544136827], ['1358708', 0.1745367540539946]]"
CBN-can-B3-20230705.jpg,"[['1529289', 0.6747809181296712], ['1412857', 0.6575147547837884], ['1356301', 0.622710090151586], ['1687910', 0.4824145992740259], ['1518245', 0.3815640418133187], ['1417758', 0.3426862636159608], ['1423209', 0.3123599937140603], ['1384482', 0.31179682022417504], ['1364071', 0.2998410623152103], ['1395020', 0.28990893539269497], ['1391427', 0.28837646964135677], ['1517486', 0.28389646909503374], ['1529410', 0.27870805879261784], ['1739015', 0.27003581524323483], ['1724565', 0.2692917544879159], ['1498118', 0.26180020634126], ['1359667', 0.257695532479594], ['1395974', 0.2537389271185534], ['1357574', 0.24247655723464678], ['1398569', 0.2419943162647909], ['1743465', 0.2414048059945273], ['1418211', 0.2145292515050403], ['1742052', 0.20053349120618524], ['1457039', 0.20028798915047588], ['1516081', 0.19357426313793002], ['1397439', 0.1891134293016182], ['1393824', 0.1861070272779258], ['1389582', 0.18555006981012515], ['1374758', 0.18011510391139945], ['1482204', 0.17586557459656504], ['1394064', 0.17314192117567248], ['1744023', 0.17092886895755413], ['1357581', 0.16988578194879234], ['1361526', 0.16947734606930176], ['1528980', 0.16878405819839676], ['1744340', 0.16248492363342787], ['1743422', 0.1605745350792797], ['1392767', 0.15961362324669737], ['1357454', 0.15787289005633878], ['1384485', 0.1536667370584518], ['1362855', 0.15253463121160668], ['1391308', 0.14621039019878176], ['1392681', 0.14202816032089652], ['1393851', 0.1368113774033371], ['1743804', 0.13510745960220563], ['1391750', 0.13206435282691445], ['1357575', 0.1293960779661644], ['1358176', 0.12888208447026092], ['1390967', 0.12879002589726352], ['1423213', 0.1272457613892583]]"
CBN-can-B4-20230705.jpg,"[['1741661', 50.604317521282724], ['1397475', 3.3409377823301023], ['1358517', 2.1784601090546354], ['1391144', 1.7349466657428017], ['1395190', 1.6087156538593488], ['1360591', 1.6021413089711871], ['1356150', 0.7179087029243503], ['1743984', 0.6736128629506544], ['1741903', 0.5491137219777797], ['1391648', 0.5283220668260008], ['1722605', 0.4067336332124373], ['1360590', 0.3969533753840802], ['1646703', 0.3272761171983309], ['1360268', 0.31065650481365986], ['1389800', 0.3073170112131988], ['1638030', 0.283439772956171], ['1389028', 0.257266754420956], ['1744599', 0.25493929605677595], ['1357104', 0.25308129978528926], ['1360325', 0.24424169259582496], ['1357103', 0.23361124890162585], ['1515981', 0.19600746911161374], ['1392681', 0.19279712397377297], ['1395920', 0.1710992308752728], ['1360110', 0.15895846102426409], ['1395805', 0.15787960176088137], ['1741706', 0.1491692365481652], ['1358379', 0.14817723555170176], ['1737633', 0.14604595776992857], ['1376006', 0.13670626627858654], ['1646088', 0.13189623680748414], ['1391654', 0.12906825493788143], ['1665997', 0.1275328162051225], ['1360640', 0.11928640220719702], ['1495410', 0.11883613736932369], ['1389810', 0.11672795238400833], ['1390660', 0.11271837371471809], ['1742115', 0.10759206872832013], ['1363815', 0.09670841269225507], ['1382844', 0.09648977932020292], ['1356303', 0.09354944489927254], ['1379585', 0.08926797273107687], ['1357159', 0.08481718500353898], ['1545780', 0.08269449951888043], ['1743299', 0.08177951699167413], ['1395862', 0.07369886347473692], ['1666930', 0.06988313357599359], ['1743583', 0.0682575059943233], ['1393874', 0.06622405534823793], ['1359195', 0.06616225430199388]]"
CBN-can-B5-20230705.jpg,"[['1741661', 19.770971128075306], ['1397475', 1.6038359933110438], ['1395190', 1.566907304398118], ['1646703', 1.4906458373309592], ['1389800', 1.267931908799655], ['1356150', 1.0358146024404264], ['1390660', 0.9730638000754916], ['1391499', 0.7411929531641046], ['1391144', 0.692288778366815], ['1742895', 0.5925303845996357], ['1395805', 0.5690993676197506], ['1418211', 0.5296791849106437], ['1360110', 0.47594311488590274], ['1361368', 0.43912177086429416], ['1397325', 0.4329351685202018], ['1697320', 0.42642824838019866], ['1489036', 0.4111595486475203], ['1376006', 0.4035382178059031], ['1394841', 0.3877633437649308], ['1360325', 0.38562129911998533], ['1358517', 0.3644582871172375], ['1743953', 0.35351840043605726], ['1360269', 0.34656933439964843], ['1394999', 0.30804986872341783], ['1395862', 0.3017543276896088], ['1396971', 0.2819287473550525], ['1391734', 0.2794184098978039], ['1395867', 0.2551812166572626], ['1382784', 0.2538901846084923], ['1741903', 0.2458919539528247], ['1738847', 0.24565510499546422], ['1741776', 0.245083320594383], ['1392549', 0.24295098593557185], ['1359727', 0.23226948400233235], ['1400176', 0.23204763755515168], ['1392274', 0.22943334627917458], ['1384482', 0.22661822338458246], ['1666930', 0.2225619756921531], ['1391313', 0.22078060450525303], ['1397528', 0.21812687268560452], ['1396739', 0.2137432516921184], ['1396733', 0.20418186463908922], ['1737701', 0.20396252970859766], ['1393824', 0.20097913108308296], ['1545740', 0.20071260106367841], ['1395920', 0.19992218421578736], ['1738625', 0.1880927171025618], ['1645887', 0.1837782259727534], ['1743719', 0.1807507688375248], ['1391310', 0.17898593662648024]]"
