img_name,top_50
CBN-can-A1-20230705.jpg,"[['1395974', 5.528279], ['1394847', 5.4255705], ['1396733', 5.086364], ['1392611', 5.0438232], ['1393824', 5.0423675], ['1548995', 5.031631], ['1394999', 4.8190904], ['1724565', 4.7252316], ['1395146', 4.543336], ['1396253', 4.5073857], ['1394841', 4.491978], ['1396140', 4.451422], ['1361367', 4.4121428], ['1389929', 4.383168], ['1362331', 4.340417], ['1395990', 4.2736187], ['1498118', 4.2521906], ['1392138', 4.1323376], ['1396869', 4.112775], ['1398569', 4.0986514], ['1394866', 4.0584946], ['1397466', 4.0459433], ['1394871', 4.0159044], ['1391734', 3.971819], ['1392608', 3.9653986], ['1394311', 3.9499044], ['1361372', 3.9012082], ['1609716', 3.8886986], ['1362361', 3.83011], ['1393615', 3.815639], ['1396974', 3.793911], ['1395020', 3.7929895], ['1400176', 3.791447], ['1392407', 3.7856896], ['1397725', 3.7168417], ['1412857', 3.7076793], ['1397546', 3.707339], ['1391207', 3.7070303], ['1392764', 3.684251], ['1391427', 3.6663759], ['1391767', 3.6462843], ['1391881', 3.6376207], ['1743605', 3.6247566], ['1396561', 3.6196215], ['1392658', 3.6032214], ['1395928', 3.5841165], ['1362368', 3.5840428], ['1389543', 3.571724], ['1396279', 3.559003], ['1356432', 3.5569904]]"
CBN-can-A2-20230705.jpg,"[['1394999', 7.981313], ['1392767', 7.802271], ['1724565', 7.165629], ['1360984', 7.1400337], ['1391499', 6.781502], ['1393824', 6.6207876], ['1391734', 6.3677793], ['1391313', 6.2279735], ['1390690', 6.093503], ['1697320', 5.7347474], ['1360985', 5.7114496], ['1360991', 5.6647615], ['1397528', 5.5816936], ['1360874', 5.492417], ['1737647', 5.4883766], ['1396309', 5.457217], ['1397468', 5.4540257], ['1389986', 5.285949], ['1397350', 5.1542726], ['1395974', 5.102103], ['1418211', 5.0689473], ['1395807', 5.002219], ['1743977', 4.9649305], ['1398569', 4.866569], ['1364071', 4.8316135], ['1359833', 4.7936897], ['1397135', 4.791096], ['1390659', 4.763752], ['1515981', 4.737029], ['1390674', 4.725811], ['1397500', 4.6516223], ['1394754', 4.6169276], ['1738847', 4.581271], ['1397193', 4.5721436], ['1395001', 4.569456], ['1392766', 4.564686], ['1491707', 4.5299153], ['1400096', 4.521761], ['1389810', 4.503422], ['1391975', 4.491728], ['1414270', 4.4686046], ['1666930', 4.454419], ['1394380', 4.4354243], ['1397548', 4.424398], ['1397338', 4.411346], ['1688091', 4.361655], ['1359835', 4.345965], ['1397123', 4.2260222], ['1362422', 4.2236977], ['1356752', 4.2201304]]"
CBN-can-A3-20230705.jpg,"[['1498118', 5.606437], ['1393824', 5.04298], ['1395974', 4.7118073], ['1482204', 4.521917], ['1391499', 4.366192], ['1518245', 4.0922127], ['1423209', 4.0745716], ['1395285', 4.028183], ['1356301', 3.9845378], ['1412857', 3.9609022], ['1392611', 3.9395235], ['1393524', 3.9383755], ['1360984', 3.8107197], ['1744023', 3.79044], ['1398569', 3.7794042], ['1374758', 3.747769], ['1399923', 3.7294285], ['1409318', 3.6666481], ['1364071', 3.6384318], ['1394999', 3.6071262], ['1396733', 3.561194], ['1687910', 3.5388825], ['1358176', 3.5289807], ['1609716', 3.5088508], ['1742052', 3.4702802], ['1396352', 3.4663553], ['1391771', 3.4480157], ['1397500', 3.4475193], ['1737647', 3.4372842], ['1392652', 3.4183195], ['1362361', 3.4129965], ['1394445', 3.4013715], ['1743448', 3.3833876], ['1397255', 3.3654313], ['1393653', 3.3413932], ['1359511', 3.3351657], ['1689240', 3.3320708], ['1721018', 3.3197327], ['1357574', 3.3132246], ['1356448', 3.2907948], ['1362228', 3.2889652], ['1391427', 3.2839077], ['1360300', 3.2347937], ['1361526', 3.204831], ['1362025', 3.1882188], ['1396825', 3.1882179], ['1369068', 3.1700752], ['1396715', 3.1640632], ['1397338', 3.1464891], ['1389582', 3.1418881]]"
CBN-can-A5-20230705.jpg,"[['1391499', 6.755795], ['1393824', 6.4729857], ['1724565', 6.3901405], ['1392767', 6.274799], ['1360984', 6.1027746], ['1738627', 5.7289267], ['1397548', 5.675714], ['1391734', 5.6291003], ['1646703', 5.6124578], ['1738847', 5.4105396], ['1389800', 5.3314395], ['1741661', 5.2483983], ['1400176', 5.246975], ['1743506', 5.178723], ['1362422', 5.1386833], ['1390674', 5.131973], ['1390659', 5.0808177], ['1397528', 5.0519147], ['1399798', 5.0359807], ['1397500', 5.0284944], ['1489133', 5.0206327], ['1391313', 5.0130887], ['1390660', 5.0045347], ['1356301', 5.0016994], ['1743953', 4.9271474], ['1418211', 4.920352], ['1392274', 4.901743], ['1489036', 4.873726], ['1697320', 4.868381], ['1394999', 4.863622], ['1744235', 4.824892], ['1390672', 4.758042], ['1509735', 4.678773], ['1739015', 4.634352], ['1688091', 4.623573], ['1356752', 4.612855], ['1395990', 4.606716], ['1360985', 4.600811], ['1361526', 4.5868926], ['1395285', 4.5554175], ['1360991', 4.497013], ['1395920', 4.473325], ['1395870', 4.4499116], ['1392549', 4.4438734], ['1397255', 4.4262514], ['1364071', 4.4035826], ['1390658', 4.3400655], ['1398569', 4.2834754], ['1356150', 4.2270136], ['1361316', 4.1748505]]"
CBN-can-A6-20230705.jpg,"[['1741661', 10.323336], ['1397475', 8.064308], ['1391144', 7.62252], ['1358517', 7.481949], ['1646703', 7.389637], ['1395190', 7.198057], ['1360591', 7.0001206], ['1741903', 6.0067334], ['1360590', 5.9276514], ['1389800', 5.799915], ['1391648', 5.5625896], ['1356150', 5.3844523], ['1360268', 5.1218677], ['1389028', 4.983434], ['1743984', 4.9149632], ['1360110', 4.902236], ['1391654', 4.8296514], ['1357103', 4.8119216], ['1395805', 4.7360654], ['1665997', 4.6730165], ['1395862', 4.5651026], ['1638030', 4.5627193], ['1515981', 4.533164], ['1418211', 4.5080566], ['1360325', 4.483688], ['1546251', 4.447506], ['1389810', 4.435334], ['1376006', 4.4154963], ['1392681', 4.408923], ['1393874', 4.4010897], ['1358379', 4.3479476], ['1743801', 4.311977], ['1382844', 4.2856407], ['1722605', 4.245695], ['1666930', 4.1832576], ['1739015', 4.1815276], ['1737701', 4.142002], ['1390660', 4.124997], ['1396971', 4.10735], ['1357104', 4.0681987], ['1495410', 4.0654817], ['1742895', 4.0532713], ['1417689', 4.014245], ['1741706', 4.011196], ['1737633', 4.009621], ['1739270', 3.9929085], ['1363815', 3.986723], ['1738847', 3.986476], ['1395920', 3.910509], ['1396970', 3.9010124]]"
CBN-can-B1-20230705.jpg,"[['1362361', 6.887454], ['1392611', 6.1632], ['1392606', 5.6820207], ['1392608', 5.6663237], ['1360299', 5.535633], ['1667408', 5.4270287], ['1355992', 5.316027], ['1394884', 5.281031], ['1393615', 5.2720237], ['1394866', 5.0355587], ['1394863', 4.9910293], ['1359632', 4.931018], ['1394847', 4.738422], ['1360154', 4.72288], ['1394857', 4.6255407], ['1394864', 4.6077724], ['1664563', 4.6046014], ['1400080', 4.5601783], ['1395943', 4.5255594], ['1394855', 4.495088], ['1358655', 4.48959], ['1517350', 4.4330974], ['1397466', 4.3717027], ['1398569', 4.3638525], ['1360780', 4.3268943], ['1722444', 4.317195], ['1360471', 4.2996254], ['1744867', 4.2653265], ['1359813', 4.1559787], ['1667780', 4.148025], ['1383109', 4.1225095], ['1355993', 4.1214633], ['1356001', 4.104708], ['1362025', 4.040628], ['1398781', 4.008199], ['1518014', 3.9708827], ['1392137', 3.9626102], ['1395146', 3.945748], ['1392658', 3.9378297], ['1356448', 3.9329176], ['1666569', 3.9112165], ['1369068', 3.9008837], ['1396899', 3.8483882], ['1357511', 3.8417966], ['1360516', 3.7643886], ['1400126', 3.7638252], ['1358934', 3.7620826], ['1394871', 3.7608001], ['1396733', 3.751278], ['1550162', 3.7271583]]"
CBN-can-B2-20230705.jpg,"[['1392611', 6.4594607], ['1362361', 6.256979], ['1390345', 6.13806], ['1400080', 5.729915], ['1394847', 5.469028], ['1392608', 5.1182957], ['1360299', 4.9870753], ['1667408', 4.94053], ['1389929', 4.852787], ['1360780', 4.8481236], ['1394866', 4.8135376], ['1394311', 4.752208], ['1392606', 4.6624327], ['1400126', 4.4834204], ['1358858', 4.437964], ['1411089', 4.349021], ['1394863', 4.2774577], ['1395937', 4.2383785], ['1390793', 4.237061], ['1362331', 4.2316937], ['1395974', 4.2177963], ['1394884', 4.2058096], ['1362368', 4.2028785], ['1362055', 4.153321], ['1359813', 4.111332], ['1392904', 4.0876994], ['1358934', 4.063968], ['1394864', 4.041448], ['1521055', 4.0180464], ['1360298', 4.017781], ['1360154', 3.9472075], ['1518014', 3.916117], ['1396754', 3.893834], ['1742051', 3.8921463], ['1390951', 3.8747177], ['1398781', 3.8586023], ['1393615', 3.840283], ['1397540', 3.8392277], ['1478627', 3.8315864], ['1392114', 3.7985177], ['1358935', 3.7918346], ['1373840', 3.7738314], ['1738721', 3.771684], ['1358886', 3.765919], ['1358622', 3.7341135], ['1548995', 3.7170637], ['1400101', 3.6894207], ['1391207', 3.668257], ['1357511', 3.6536186], ['1358708', 3.6507297]]"
CBN-can-B3-20230705.jpg,"[['1529289', 4.7479315], ['1412857', 4.7220106], ['1356301', 4.6676245], ['1687910', 4.4123473], ['1518245', 4.177822], ['1417758', 4.0703588], ['1423209', 3.9776998], ['1384482', 3.9758952], ['1364071', 3.936796], ['1395020', 3.9031103], ['1391427', 3.8978102], ['1517486', 3.882153], ['1529410', 3.8637083], ['1739015', 3.832098], ['1724565', 3.8293388], ['1498118', 3.801125], ['1359667', 3.7853222], ['1395974', 3.7698493], ['1357574', 3.7244484], ['1398569', 3.7224576], ['1743465', 3.7200186], ['1418211', 3.6019895], ['1742052', 3.5345247], ['1457039', 3.5332997], ['1516081', 3.4992046], ['1397439', 3.4758904], ['1393824', 3.4598653], ['1389582', 3.4568682], ['1374758', 3.4271395], ['1482204', 3.4032633], ['1394064', 3.387655], ['1744023', 3.374791], ['1357581', 3.3686697], ['1361526', 3.3662627], ['1528980', 3.3621635], ['1744340', 3.3241286], ['1743422', 3.3123016], ['1392767', 3.3062994], ['1357454', 3.2953336], ['1384485', 3.2683296], ['1362855', 3.260935], ['1391308', 3.21859], ['1392681', 3.1895688], ['1393851', 3.1521466], ['1743804', 3.1396139], ['1391750', 3.1168327], ['1357575', 3.0964215], ['1358176', 3.0924413], ['1390967', 3.0917268], ['1423213', 3.0796638]]"
CBN-can-B4-20230705.jpg,"[['1741661', 10.170642], ['1397475', 7.4528565], ['1358517', 7.0252233], ['1391144', 6.7975817], ['1395190', 6.722041], ['1360591', 6.717946], ['1356150', 5.915192], ['1743984', 5.8515053], ['1741903', 5.6471553], ['1391648', 5.608556], ['1722605', 5.347008], ['1360590', 5.3226686], ['1646703', 5.129654], ['1360268', 5.0775375], ['1389800', 5.0667295], ['1638030', 4.9858494], ['1389028', 4.888963], ['1744599', 4.879875], ['1357104', 4.8725605], ['1360325', 4.837008], ['1357103', 4.792508], ['1515981', 4.6170025], ['1392681', 4.600488], ['1395920', 4.4810934], ['1360110', 4.4074926], ['1395805', 4.4006824], ['1741706', 4.343931], ['1358379', 4.337259], ['1737633', 4.322771], ['1376006', 4.2566843], ['1646088', 4.2208652], ['1391654', 4.199191], ['1665997', 4.1872234], ['1360640', 4.120377], ['1495410', 4.1165953], ['1389810', 4.0986958], ['1390660', 4.063742], ['1742115', 4.0171967], ['1363815', 3.91055], ['1382844', 3.9082868], ['1356303', 3.8773398], ['1379585', 3.8304925], ['1357159', 3.779348], ['1545780', 3.7540028], ['1743299', 3.7428765], ['1395862', 3.638837], ['1666930', 3.585674], ['1743583', 3.5621371], ['1393874', 3.5318935], ['1359195', 3.5309598]]"
CBN-can-B5-20230705.jpg,"[['1741661', 8.77639], ['1397475', 6.2645736], ['1395190', 6.241279], ['1646703', 6.191385], ['1389800', 6.0295625], ['1356150', 5.8273635], ['1390660', 5.7648697], ['1391499', 5.492681], ['1391144', 5.424423], ['1742895', 5.268822], ['1395805', 5.228475], ['1418211', 5.1566916], ['1360110', 5.0497184], ['1361368', 4.969197], ['1397325', 4.955008], ['1697320', 4.939864], ['1489036', 4.9034014], ['1376006', 4.884691], ['1394841', 4.8448153], ['1360325', 4.839276], ['1358517', 4.782832], ['1743953', 4.7523556], ['1360269', 4.732503], ['1394999', 4.6146817], ['1395862', 4.5940332], ['1396971', 4.5260744], ['1391734', 4.5171304], ['1395867', 4.426394], ['1382784', 4.421322], ['1741903', 4.3893123], ['1738847', 4.3883486], ['1741776', 4.3860183], ['1392549', 4.3772798], ['1359727', 4.3323183], ['1400176', 4.3313627], ['1392274', 4.3200326], ['1384482', 4.307687], ['1666930', 4.2896256], ['1391313', 4.2815895], ['1397528', 4.269497], ['1396739', 4.2491956], ['1396733', 4.203431], ['1737701', 4.2023563], ['1393824', 4.187621], ['1545740', 4.186294], ['1395920', 4.1823483], ['1738625', 4.121355], ['1645887', 4.09815], ['1743719', 4.081539], ['1391310', 4.0717273]]"
