plot_id;species_ids
CBN-Pla-E6-20130904;[1395807, 1395870, 1651485]
CBN-Pla-E6-20140722;[1397500, 1737507, 1394322, 1395085, 1395112, 1391797]
CBN-Pla-E6-20140902;[1395807, 1651485]
CBN-Pla-E6-20150702;[1391797, 1390756, 1737507, 1361585, 1397471, 1396974, 1395085]
CBN-Pla-E6-20150723;[1395807, 1395870, 1741880]
CBN-Pla-E6-20150811;[1395807, 1395870, 1412857]
CBN-Pla-E6-20150901;[1395807, 1412857, 1395870]
CBN-Pla-E6-20160707;[1395085, 1737507, 1395112, 1391797, 1396974]
CBN-Pla-E6-20160728;[1395807, 1395870]
CBN-Pla-E6-20180724;[1390756, 1391846, 1396733, 1737507]
CBN-Pla-E6-20180816;[1395807]
CBN-Pla-E6-20180906;[1395807, 1412857, 1395870]
CBN-Pla-E6-20190723;[1395807, 1397500]
CBN-Pla-E6-20190814;[1395870, 1395807, 1394643, 1741880]
CBN-Pla-E6-20200723;[1395807, 1395870]
CBN-Pla-E6-20200814;[1395807, 1395870, 1394643, 1394641, 1392299]
CBN-Pla-F1-20130808;[1395112, 1393679, 1395085, 1397059]
CBN-Pla-F1-20130904;[1394542, 1400176, 1393679, 1392734, 1651485, 1395112, 1389596, 1396974]
CBN-Pla-F1-20140722;[1393679, 1396094, 1395120, 1395097, 1395085]
CBN-Pla-F1-20140902;[1651485, 1392734, 1361141, 1389929, 1361367, 1400176, 1392323]
CBN-Pla-F1-20150702;[1396094, 1743474, 1395085]
CBN-Pla-F1-20150723;[1647128, 1400176, 1395112, 1394542, 1392734, 1389596]
CBN-Pla-F1-20150901;[1392734, 1392314, 1743471, 1361141, 1390793, 1389929]
CBN-Pla-F1-20160707;[1393679, 1395085]
CBN-Pla-F1-20160728;[1728573]
CBN-Pla-F1-20180724;[1395120, 1395085, 1397471, 1396094, 1397461, 1394322]
CBN-Pla-F1-20180816;[1359296, 1741624, 1412585, 1359321]
CBN-Pla-F1-20180906;[1728573]
CBN-Pla-F1-20190723;[1395112, 1395085, 1395049, 1389596]
CBN-Pla-F1-20190814;[1651485, 1393679, 1400176, 1389929, 1389596, 1392734, 1392314]
CBN-Pla-F1-20200630;[1397500, 1737507, 1395120, 1395085, 1395112]
CBN-Pla-F1-20200723;[1359296, 1741624, 1359321, 1393646, 1412585, 1393679]
CBN-Pla-F1-20200814;[1393679, 1651485, 1392734, 1728573, 1400176, 1743471, 1392314]
CBN-Pla-F2-20130808;[1395085, 1394542, 1394643, 1396094, 1396974, 1397059]
CBN-Pla-F2-20130904;[1396974, 1394542, 1394540, 1400176]
CBN-Pla-F2-20140722;[1396974, 1394322, 1395085, 1397461]
CBN-Pla-F2-20140902;[1394643, 1394542, 1396974, 1651485, 1400176]
CBN-Pla-F2-20150702;[1396094, 1394322, 1396974, 1743471]
CBN-Pla-F2-20150723;[1394643, 1412857, 1395112, 1395085, 1394542]
CBN-Pla-F2-20150901;[1361141, 1390793, 1396974, 1651363, 1743471, 1396094, 1391207]
CBN-Pla-F2-20160707;[1395085, 1397059, 1396974, 1737507]
CBN-Pla-F2-20160728;[1396974, 1395085, 1361141, 1394542, 1395112, 1400176, 1392561]
CBN-Pla-F2-20180724;[1395085, 1737507, 1396974, 1397471, 1391797, 1394322, 1397461, 1396094]
CBN-Pla-F2-20180816;[1395870, 1392323, 1392314, 1395085]
CBN-Pla-F2-20180906;[1737720, 1651485, 1395718, 1743471]
CBN-Pla-F2-20190723;[1395085, 1396094, 1395870, 1395112]
CBN-Pla-F2-20190814;[1396974, 1392734, 1400176, 1389596, 1394542, 1395112]
CBN-Pla-F2-20200630;[1737507, 1397500, 1397461]
CBN-Pla-F2-20200723;[1394322, 1397471, 1389596, 1396974, 1395085, 1400176, 1394643]
CBN-Pla-F2-20200814;[1396974, 1400176, 1394542, 1394643, 1389596]
CBN-Pla-F3-20130808;[1743471, 1395085, 1394542, 1392314, 1361141]
CBN-Pla-F3-20130904;[1394643, 1394542, 1651485]
CBN-Pla-F3-20140722;[1396974, 1737507, 1394542, 1397461, 1412857, 1395085]
CBN-Pla-F3-20140902;[1647128, 1651485, 1394643, 1394641]
CBN-Pla-F3-20150702;[1743474, 1392314, 1394643, 1743471, 1361141]
CBN-Pla-F3-20150723;[1394643, 1412857]
CBN-Pla-F3-20150811;[1394643, 1412857]
CBN-Pla-F3-20150901;[1412857, 1743471, 1394643, 1392535]
CBN-Pla-F3-20160707;[1394643, 1412857, 1392535, 1394641, 1743474]
CBN-Pla-F3-20160728;[1412857, 1400176, 1394643]
CBN-Pla-F3-20180724;[1395120, 1395085, 1392534, 1391797, 1397500, 1397471, 1392535, 1737507]
CBN-Pla-F3-20180816;[1394643, 1412857, 1742052, 1392535]
CBN-Pla-F3-20180906;[1394643, 1412857, 1743471, 1392535]
CBN-Pla-F3-20190723;[1412857, 1394643]
CBN-Pla-F3-20190814;[1394643, 1394641, 1412857]
CBN-Pla-F3-20200630;[1359937, 1737507, 1397838, 1395112, 1356407]
CBN-Pla-F3-20200723;[1394643, 1412857, 1742052, 1737651]
CBN-Pla-F3-20200814;[1394643, 1743471, 1392314]
CBN-Pla-F4-20130808;[1395085, 1395807, 1394643, 1396974, 1397500, 1394322, 1397471, 1394641]
CBN-Pla-F4-20130904;[1394643, 1395112, 1396974, 1395085]
CBN-Pla-F4-20140722;[1396974, 1394542, 1737507, 1400176, 1743422, 1397461]
CBN-Pla-F4-20150723;[1395807, 1395085, 1394643, 1394542, 1400084, 1395112]
CBN-Pla-F4-20150811;[1412857, 1392314, 1394643, 1361141]
CBN-Pla-F4-20150901;[1412857, 1392314, 1394643, 1743471, 1651485, 1361141]
CBN-Pla-F4-20160707;[1412857, 1743474, 1394643, 1392314, 1395085, 1737507, 1743422]
CBN-Pla-F4-20160728;[1394643, 1392314, 1394641, 1412857, 1651485, 1396144]
CBN-Pla-F4-20180724;[1392314, 1743422, 1395120, 1743474, 1412857, 1737507, 1395085, 1394643]
CBN-Pla-F4-20180816;[1412857, 1394643, 1394641, 1397500]
CBN-Pla-F4-20180906;[1412857, 1394643]
CBN-Pla-F4-20190723;[1412857, 1397500, 1395807, 1394643]
