plot_id;species_ids
CBN-can-A1-20230705;[1395807, 1412857]
CBN-can-A2-20230705;[1395807, 1390659, 1743422]
CBN-can-A3-20230705;[1412857, 1393200, 1392608, 1395807]
CBN-can-A5-20230705;[1397475, 1395807, 1395190]
CBN-can-A6-20230705;[1397475]
CBN-can-B1-20230705;[1392608, 1395807]
CBN-can-B2-20230705;[1392608, 1400101, 1395807]
CBN-can-B3-20230705;[1412857, 1395807, 1393494]
CBN-can-B4-20230705;[1397475]
CBN-can-B5-20230705;[1397475, 1395807, 1395190]
CBN-can-B6-20230705;[1395807, 1397475, 1393679]
CBN-can-C1-20230705;[1395807, 1393200]
CBN-can-C2-20230705;[1395807]
CBN-can-C3-20230705;[1395807]
CBN-can-C4-20230705;[1395807]
CBN-can-D1-20230705;[1395807]
CBN-can-D2-20230705;[1395807, 1412857]
CBN-can-D3-20230705;[1395807, 1412857, 1647128]
CBN-can-D4-20230705;[1395807, 1400101]
CBN-can-E1-20230706;[1392608, 1395120, 1392323, 1395807]
CBN-can-E2-20230706;[1395807]
CBN-can-E3-20230706;[1395120, 1395807, 1392535, 1394911, 1397129]
CBN-can-E4-20230706;[1395807, 1361284, 1393684, 1393929, 1393681, 1395120]
CBN-can-E5-20230706;[1392608, 1393200, 1395807]
CBN-can-E6-20230706;[1395807, 1396843]
CBN-can-F1-20230705;[1395807]
CBN-can-F2-20230706;[1395807]
CBN-can-F3-20230706;[1395807, 1400084, 1395120, 1392309]
CBN-can-F4-20230706;[1400084, 1395807, 1393681, 1392323, 1393684, 1393660]
CBN-can-F5-20230706;[1395807, 1392608, 1392323, 1395120]
CBN-PdlC-A1-20130807;[1394911, 1395085, 1395120, 1392608, 1394641]
CBN-PdlC-A1-20130903;[1394641, 1412857, 1395807, 1388793, 1393494, 1742053, 1395085]
CBN-PdlC-A1-20140721;[1394911, 1412857, 1392608]
CBN-PdlC-A1-20140811;[1412857, 1392608, 1395120, 1388793]
CBN-PdlC-A1-20140901;[1394641, 1392608, 1412857, 1388793, 1393494]
