plot_id;species_ids
CBN-PdlC-E6-20140630;[1392535, 1394911]
CBN-PdlC-E6-20140721;[1395807]
CBN-PdlC-E6-20140811;[1395807]
CBN-PdlC-E6-20150701;[1395807]
CBN-PdlC-E6-20150720;[1395807, 1396843]
CBN-PdlC-E6-20150810;[1395807, 1396843]
CBN-PdlC-E6-20150831;[1395807]
CBN-PdlC-E6-20160705;[1395807, 1394911]
CBN-PdlC-E6-20160726;[1395807, 1396843]
CBN-PdlC-E6-20170816;[1396843, 1395807]
CBN-PdlC-E6-20170906;[1396843, 1395807]
CBN-PdlC-E6-20180702;[1392535, 1394911, 1397500]
CBN-PdlC-E6-20180723;[1395807, 1392539]
CBN-PdlC-E6-20180815;[1396843, 1388793, 1395807, 1396869]
CBN-PdlC-E6-20180905;[1396843]
CBN-PdlC-E6-20190722;[1395807, 1396843]
CBN-PdlC-E6-20190812;[1396843, 1395807]
CBN-PdlC-E6-20190909;[1395807]
CBN-PdlC-E6-20200629;[1394911, 1392535, 1395807]
CBN-PdlC-E6-20200722;[1395807, 1396843]
CBN-PdlC-E6-20200812;[1395807]
CBN-PdlC-F1-20130723;[1392535, 1394911, 1395807]
CBN-PdlC-F1-20130807;[1395807, 1392539]
CBN-PdlC-F1-20130903;[1395807, 1392535]
CBN-PdlC-F1-20140630;[1392535, 1394911]
CBN-PdlC-F1-20140721;[1395807]
CBN-PdlC-F1-20140811;[1395807]
CBN-PdlC-F1-20140901;[1395807]
CBN-PdlC-F1-20150701;[1395807, 1394911]
CBN-PdlC-F1-20150720;[1395807]
CBN-PdlC-F1-20150810;[1395807, 1394911]
CBN-PdlC-F1-20150831;[1395807, 1392535]
CBN-PdlC-F1-20160705;[1395807, 1394911]
CBN-PdlC-F1-20160726;[1395807]
CBN-PdlC-F1-20170816;[1395807, 1394911, 1392535]
CBN-PdlC-F1-20170906;[1392535, 1394911, 1519650]
CBN-PdlC-F1-20180702;[1394911, 1392535]
CBN-PdlC-F1-20180723;[1395807, 1394911, 1395085, 1392539]
CBN-PdlC-F1-20180815;[1392535, 1395807, 1388793, 1394911]
CBN-PdlC-F1-20180905;[1392535, 1394911, 1519650]
CBN-PdlC-F1-20190701;[1395807, 1394911]
CBN-PdlC-F1-20190812;[1395807]
CBN-PdlC-F1-20190909;[1394911, 1395807, 1519650, 1392535]
CBN-PdlC-F1-20200629;[1394911, 1395807, 1392535]
CBN-PdlC-F1-20200722;[1395807]
CBN-PdlC-F1-20200812;[1395807, 1394911]
CBN-PdlC-F2-20130723;[1394911, 1392535, 1395807]
CBN-PdlC-F2-20130807;[1395807]
CBN-PdlC-F2-20130903;[1395807, 1392535, 1394911]
CBN-PdlC-F2-20140630;[1392535, 1392608, 1394911]
CBN-PdlC-F2-20140721;[1395807]
CBN-PdlC-F2-20140811;[1395807, 1412857]
CBN-PdlC-F2-20140901;[1395807]
CBN-PdlC-F2-20150701;[1395807]
CBN-PdlC-F2-20150720;[1395807]
CBN-PdlC-F2-20150810;[1395807, 1412857]
CBN-PdlC-F2-20150831;[1395807]
CBN-PdlC-F2-20160705;[1395807]
CBN-PdlC-F2-20160726;[1395807]
CBN-PdlC-F2-20170906;[1395807, 1519650]
CBN-PdlC-F2-20180702;[1394911, 1392535, 1395085]
CBN-PdlC-F2-20180723;[1395807, 1394911]
CBN-PdlC-F2-20180815;[1395807, 1388793, 1394641, 1393494]
CBN-PdlC-F2-20180905;[1395807, 1519650, 1392535, 1394911, 1397542]
CBN-PdlC-F2-20190701;[1394911, 1395807]
CBN-PdlC-F2-20190812;[1395807, 1519650, 1393494]
CBN-PdlC-F2-20190909;[1395807, 1394911, 1393494]
CBN-PdlC-F2-20200629;[1394911, 1392535]
CBN-PdlC-F2-20200722;[1395807]
CBN-PdlC-F2-20200812;[1395807]
CBN-PdlC-F3-20130723;[1394911, 1392323, 1397500, 1392608]
CBN-PdlC-F3-20130807;[1392323, 1392608, 1395807, 1394911]
CBN-PdlC-F3-20130903;[1651485, 1395807, 1392608, 1394911]
CBN-PdlC-F3-20140630;[1395120, 1392608]
CBN-PdlC-F3-20140721;[1395807, 1394911, 1392323]
CBN-PdlC-F3-20140811;[1395807, 1392323]
CBN-PdlC-F3-20140901;[1395807, 1392323]
CBN-PdlC-F3-20150701;[1395807, 1394911, 1397500, 1395120]
CBN-PdlC-F3-20150720;[1395807, 1360269, 1392323, 1392608]
CBN-PdlC-F3-20150810;[1395807, 1392323]
CBN-PdlC-F3-20150831;[1395807, 1392323]
CBN-PdlC-F3-20160705;[1395807, 1394911]
CBN-PdlC-F3-20160726;[1395807, 1392309]
CBN-PdlC-F3-20170816;[1395807, 1392323]
CBN-PdlC-F3-20170906;[1395807, 1392323, 1418688]
CBN-PdlC-F3-20180702;[1395120, 1394911]
CBN-PdlC-F3-20180723;[1395807, 1395120]
CBN-PdlC-F3-20180815;[1388793, 1395807, 1389929, 1393660, 1392293]
CBN-PdlC-F3-20180905;[1392323, 1393660, 1392608, 1392299]
CBN-PdlC-F3-20190701;[1395120, 1395807, 1394911]
CBN-PdlC-F3-20190722;[1395807, 1392323, 1393687]
CBN-PdlC-F3-20190812;[1392323, 1395807]
CBN-PdlC-F3-20190909;[1395807, 1393660]
CBN-PdlC-F3-20200629;[1394911, 1397500, 1395120]
CBN-PdlC-F3-20200722;[1395807, 1392323]
CBN-PdlC-F3-20200812;[1395807, 1392323]
CBN-PdlC-F4-20130723;[1393200, 1394911, 1397500, 1392608]
CBN-PdlC-F4-20130807;[1393200, 1392608, 1396843, 1395807, 1397471]
CBN-PdlC-F4-20130903;[1393200, 1395807, 1392608]
CBN-PdlC-F4-20140630;[1393200, 1392608]
CBN-PdlC-F4-20140811;[1393200, 1395807, 1392608]
CBN-PdlC-F4-20140901;[1393200, 1395807, 1360299]
CBN-PdlC-F4-20150701;[1392608, 1395807, 1396843, 1393200]
CBN-PdlC-F4-20150720;[1392608, 1396843, 1395807]
CBN-PdlC-F4-20150810;[1392608, 1395807, 1396843, 1393660]
CBN-PdlC-F4-20150831;[1395807, 1392608]
CBN-PdlC-F4-20160705;[1395807, 1392608]
CBN-PdlC-F4-20160726;[1392608, 1395807, 1396843]
CBN-PdlC-F4-20170816;[1395807, 1396843, 1392608]
CBN-PdlC-F4-20170906;[1392608, 1396843, 1392323, 1396253]
CBN-PdlC-F4-20180702;[1392608, 1397500, 1394911, 1395120, 1396843]
CBN-PdlC-F4-20180723;[1392608, 1395807, 1393200, 1393687]
CBN-PdlC-F4-20180815;[1388793, 1392608]
CBN-PdlC-F4-20180905;[1392608, 1392323, 1394848]
CBN-PdlC-F4-20190701;[1395807, 1392608, 1394911, 1396843, 1393200, 1395120, 1397500]
CBN-PdlC-F4-20190722;[1392608, 1396843]
CBN-PdlC-F4-20190812;[1392608, 1395807, 1393494, 1360299]
CBN-PdlC-F4-20190909;[1392608, 1395807, 1393660]
CBN-PdlC-F4-20200629;[1393200, 1392608, 1397500, 1394911, 1395807]
CBN-PdlC-F4-20200722;[1392608, 1395807, 1393660]
CBN-PdlC-F4-20200812;[1395807, 1393660, 1392608, 1389929, 1393200]
CBN-PdlC-F5-20130723;[1392608, 1394911, 1395085]
CBN-PdlC-F5-20130903;[1395807, 1393494, 1390793]
CBN-PdlC-F5-20140630;[1394911, 1392608, 1390793, 1397500]
CBN-PdlC-F5-20140721;[1395807]
CBN-PdlC-F5-20140811;[1395807]
CBN-PdlC-F5-20150701;[1395807, 1396843, 1392608]
CBN-PdlC-F5-20150720;[1395807, 1392608, 1396843]
CBN-PdlC-F5-20150810;[1395807, 1396843, 1392608, 1392241]
CBN-PdlC-F5-20150831;[1395807, 1392608]
CBN-PdlC-F5-20160705;[1395807, 1392608, 1397500, 1394911, 1390793]
CBN-PdlC-F5-20160726;[1395807, 1396843, 1392608, 1361367, 1390793]
CBN-PdlC-F5-20170816;[1396843, 1395807]
CBN-PdlC-F5-20170906;[1396843, 1390793, 1395862]
CBN-PdlC-F5-20180702;[1394911, 1392608, 1397500, 1396843]
CBN-PdlC-F5-20180723;[1396843, 1392608, 1389929, 1393494, 1388793, 1647128, 1392539]
CBN-PdlC-F5-20180815;[1388793, 1396843, 1393494]
CBN-PdlC-F5-20180905;[1396843, 1392323, 1396253, 1390837]
CBN-PdlC-F5-20190722;[1396843, 1395807, 1392608]
CBN-PdlC-F5-20190812;[1396843, 1393494, 1395807, 1392608, 1392323]
CBN-PdlC-F5-20190909;[1390793, 1395807, 1392608]
CBN-PdlC-F5-20200629;[1394911, 1395807, 1392608, 1397500]
CBN-PdlC-F5-20200722;[1395807, 1396843, 1392323, 1390793]
CBN-PdlC-F5-20200812;[1395807, 1390793, 1396843]
CBN-PdlC-F6-20130723;[1390837, 1396869, 1392535, 1390793]
CBN-PdlC-F6-20130807;[1396843, 1390837, 1392323, 1393494, 1396869]
CBN-PdlC-F6-20130903;[1390793]
CBN-PdlC-F6-20140630;[1394911, 1390793, 1395120, 1392535, 1390837]
CBN-PdlC-F6-20140721;[1395807, 1390793, 1390820, 1647128, 1393494]
CBN-PdlC-F6-20140811;[1390793, 1396869, 1647128, 1395807, 1519650]
CBN-PdlC-F6-20150701;[1396843, 1395807, 1396869]
CBN-PdlC-F6-20150720;[1396843, 1395807, 1396869]
CBN-PdlC-F6-20150810;[1396843, 1395807, 1396869]
CBN-PdlC-F6-20150831;[1395807, 1396843, 1396869, 1393494]
CBN-PdlC-F6-20160705;[1395807, 1394911, 1396843]
CBN-PdlC-F6-20160726;[1396843, 1395807, 1505431]
CBN-PdlC-F6-20170816;[1396843, 1396869, 1390793]
CBN-PdlC-F6-20170906;[1396843, 1390793]
CBN-PdlC-F6-20180702;[1394911, 1397500, 1395120, 1392535]
CBN-PdlC-F6-20180723;[1393494, 1647128, 1396843, 1392539, 1394542, 1396869, 1390820]
CBN-PdlC-F6-20180815;[1396869, 1396843, 1388793, 1390793]
CBN-PdlC-F6-20180905;[1396843, 1390793]
CBN-PdlC-F6-20190722;[1396843, 1390820, 1390793, 1647128, 1396869, 1392608]
CBN-PdlC-F6-20190812;[1396843, 1396869, 1393494]
CBN-PdlC-F6-20190909;[1390793, 1395807, 1519650]
CBN-PdlC-F6-20200629;[1394911, 1397500]
CBN-PdlC-F6-20200722;[1395807, 1390793, 1396843, 1396869]
CBN-PdlC-F6-20200812;[1395807, 1390793]
CBN-Pla-A1-20130808;[1395807, 1394911]
CBN-Pla-A1-20130904;[1395807, 1393494]
CBN-Pla-A1-20140722;[1395120, 1397475, 1741754]
CBN-Pla-A1-20140812;[1395807, 1394911]
