plot_id;species_ids
CBN-Pla-B4-20130904;[1388793, 1395807]
CBN-Pla-B4-20140722;[1737507, 1395120]
CBN-Pla-B4-20140812;[1395807]
CBN-Pla-B4-20140902;[1388793, 1395807]
CBN-Pla-B4-20150702;[1737507, 1395120]
CBN-Pla-B4-20150723;[1388793, 1395807]
CBN-Pla-B4-20150811;[1395807, 1388793]
CBN-Pla-B4-20150901;[1395807, 1359835, 1361347, 1361141, 1392568, 1392571]
CBN-Pla-B4-20160707;[1737507, 1395120, 1394911, 1741808, 1397500]
CBN-Pla-B4-20160728;[1395807, 1388793, 1392561, 1397129]
CBN-Pla-B4-20180724;[1737507]
CBN-Pla-B4-20180816;[1395807, 1397129, 1394911, 1388793, 1397500]
CBN-Pla-B4-20180906;[1395807, 1359835, 1395870]
CBN-Pla-B4-20190723;[1395807, 1741808, 1394911]
CBN-Pla-B4-20190814;[1388793, 1395807, 1395120]
CBN-Pla-B4-20200723;[1395807, 1741808]
CBN-Pla-B4-20200814;[1395807, 1392561]
CBN-Pla-B5-20130724;[1395085, 1737507, 1741808]
CBN-Pla-B5-20130808;[1395807]
CBN-Pla-B5-20130904;[1395807]
CBN-Pla-B5-20140722;[1737507, 1395085, 1741808, 1556096]
CBN-Pla-B5-20140812;[1395807]
CBN-Pla-B5-20140902;[1395807, 1392539]
CBN-Pla-B5-20150702;[1741808, 1737507, 1395085, 1397372]
CBN-Pla-B5-20150723;[1395807, 1395870]
CBN-Pla-B5-20150811;[1395807, 1395870, 1395085]
CBN-Pla-B5-20150901;[1395807, 1395870]
CBN-Pla-B5-20160707;[1741808, 1395085, 1394911, 1395807]
CBN-Pla-B5-20160728;[1395807, 1395085, 1388793]
CBN-Pla-B5-20180724;[1395085, 1741808, 1737507, 1556096]
CBN-Pla-B5-20180816;[1395085, 1741808, 1395807, 1388793, 1395870, 1390657]
CBN-Pla-B5-20180906;[1395085, 1395807, 1395870, 1359835]
CBN-Pla-B5-20190723;[1741808, 1395085, 1395807, 1390657]
CBN-Pla-B5-20190814;[1395807, 1395085, 1397463]
CBN-Pla-B5-20200723;[1395807, 1741808, 1397129, 1395085, 1395870]
CBN-Pla-B5-20200814;[1395085, 1395807, 1388793, 1393494, 1390657, 1395870]
CBN-Pla-B6-20130724;[1737507, 1357950]
CBN-Pla-B6-20130808;[1395807]
CBN-Pla-B6-20130904;[1395807]
CBN-Pla-B6-20140722;[1737507, 1395085, 1741808, 1395120]
CBN-Pla-B6-20140812;[1395807, 1395085]
CBN-Pla-B6-20140902;[1395807, 1388793, 1396015, 1392539]
CBN-Pla-B6-20150702;[1737507, 1394911, 1395085, 1397500, 1397372]
CBN-Pla-B6-20150723;[1395807, 1396869]
CBN-Pla-B6-20150811;[1395807]
CBN-Pla-B6-20150901;[1395807, 1390793]
CBN-Pla-B6-20160707;[1737507, 1394911, 1392541, 1397500, 1741808]
CBN-Pla-B6-20160728;[1395807, 1392561, 1397129, 1388793]
CBN-Pla-B6-20180816;[1395807, 1392539, 1388793]
CBN-Pla-B6-20180906;[1395807, 1396015]
CBN-Pla-B6-20190723;[1395807, 1741808, 1395120]
CBN-Pla-B6-20190814;[1395807, 1396015]
CBN-Pla-B6-20200723;[1741808, 1395807, 1388793, 1392608]
CBN-Pla-B6-20200814;[1395807, 1392561]
CBN-Pla-C1-20130808;[1392535, 1394911]
CBN-Pla-C1-20130904;[1392535, 1395120, 1388793]
CBN-Pla-C1-20150702;[1392535, 1394911, 1395120, 1737507, 1392534]
CBN-Pla-C1-20150723;[1392535, 1388793, 1392534]
CBN-Pla-C1-20150811;[1392535, 1395870, 1395807]
CBN-Pla-C1-20150901;[1392535]
CBN-Pla-C1-20160707;[1392535, 1395120, 1394911]
CBN-Pla-C1-20160728;[1392535, 1395120]
CBN-Pla-C1-20180816;[1392535, 1395870]
CBN-Pla-C1-20180906;[1392535, 1395870]
CBN-Pla-C1-20190723;[1392535, 1395120, 1392541]
CBN-Pla-C1-20190814;[1392535, 1388793]
CBN-Pla-C1-20200723;[1392535, 1395807, 1388793]
CBN-Pla-C1-20200814;[1392535, 1395870, 1395807]
CBN-Pla-C2-20130808;[1394911, 1395120, 1741808]
CBN-Pla-C2-20130904;[1388793, 1395120, 1392561]
CBN-Pla-C2-20140722;[1737507, 1395120]
CBN-Pla-C2-20140902;[1388793, 1392561, 1389929]
CBN-Pla-C2-20150702;[1737507, 1395120, 1394911]
CBN-Pla-C2-20150723;[1388793, 1395120, 1395807, 1394643, 1392535]
CBN-Pla-C2-20150811;[1395870, 1394643, 1388793]
CBN-Pla-C2-20150901;[1395870, 1394542, 1394643]
CBN-Pla-C2-20160707;[1395120, 1737507, 1394911]
CBN-Pla-C2-20160728;[1395120, 1388793, 1397129]
